Workload,Replication,AllowReneging,LambdaInput,SimDuration,Warmup,E_r_sim,E_r_ci95,lambda_effective,E_N_sim,P_reject_N_max,total_in,total_out,total_rejected,total_reneged
WL-BASE-NO-REN-REP01,1,0,0.16666666666666666,600.0,51,19.876306935678137,3.1955601587582034,0.18004318965803828,3.5785936993216807,0.0,113,113,0,0
WL-BASE-NO-REN-REP02,2,0,0.16666666666666666,600.0,51,17.666149928558426,3.388259797047839,0.13285077039250826,2.3469616278785415,0.0,83,83,0,0
WL-BASE-NO-REN-REP03,3,0,0.16666666666666666,600.0,51,17.701376164467877,3.3396438390879633,0.14392273449622459,2.5476304619365084,0.0,89,89,0,0
WL-BASE-NO-REN-REP04,4,0,0.16666666666666666,600.0,51,17.579024328362944,3.262609691117845,0.15513632751724668,2.727145275638561,0.0,95,95,0,0
WL-BASE-NO-REN-REP05,5,0,0.16666666666666666,600.0,51,21.247840642543803,3.438138006934242,0.183460422222597,3.898137815599543,0.0,112,112,0,0
WL-BASE-NO-REN-REP06,6,0,0.16666666666666666,600.0,51,22.397856565925846,3.7029827754291116,0.15246162304836489,3.414813564845531,0.0,92,92,0,0
WL-BASE-NO-REN-REP07,7,0,0.16666666666666666,600.0,51,20.53205660526157,4.346301051104333,0.15782922311237452,3.2405585429077313,0.0,98,98,0,0
WL-BASE-NO-REN-REP08,8,0,0.16666666666666666,600.0,51,18.18569829466893,2.9701559532973207,0.17656410612404375,3.2109415636397665,0.0,111,111,0,0
WL-BASE-NO-REN-REP09,9,0,0.16666666666666666,600.0,51,17.352561792345053,3.2070109793259913,0.1739976782899989,3.019305464251781,0.0,109,109,0,0
WL-BASE-NO-REN-REP10,10,0,0.16666666666666666,600.0,51,19.123396344284306,3.4370484540134743,0.1605922895294448,3.071070002507631,0.0,106,106,0,0
WL-BASE-NO-REN-REP11,11,0,0.16666666666666666,600.0,51,18.309902697364514,2.588573042598227,0.18005565477920701,3.2968015191175364,0.0,111,111,0,0
WL-BASE-NO-REN-REP12,12,0,0.16666666666666666,600.0,51,21.83461382751841,3.64487972302033,0.14015215958080254,3.060168281539558,0.0,87,87,0,0
WL-BASE-NO-REN-REP13,13,0,0.16666666666666666,600.0,51,22.286335936216503,4.989565223093568,0.1556778328830197,3.469488481453149,0.0,96,96,0,0
