Workload,Replication,From,To,Transitions,Probability,TotalFrom
WL-BASE-NO-REN-REP01,1,Grill,Grill,37,0.20555555555555555,180
WL-BASE-NO-REN-REP01,1,Grill,Beverage,53,0.29444444444444445,180
WL-BASE-NO-REN-REP01,1,Grill,Dessert,50,0.2777777777777778,180
WL-BASE-NO-REN-REP01,1,Grill,SINK,40,0.2222222222222222,180
WL-BASE-NO-REN-REP01,1,Beverage,Grill,50,0.24509803921568626,204
WL-BASE-NO-REN-REP01,1,Beverage,Beverage,54,0.2647058823529412,204
WL-BASE-NO-REN-REP01,1,Beverage,Dessert,60,0.29411764705882354,204
WL-BASE-NO-REN-REP01,1,Beverage,SINK,40,0.19607843137254902,204
WL-BASE-NO-REN-REP01,1,Dessert,Grill,49,0.2692307692307692,182
WL-BASE-NO-REN-REP01,1,Dessert,Beverage,63,0.34615384615384615,182
WL-BASE-NO-REN-REP01,1,Dessert,Dessert,37,0.2032967032967033,182
WL-BASE-NO-REN-REP01,1,Dessert,SINK,33,0.1813186813186813,182
WL-BASE-NO-REN-REP02,2,Grill,Grill,21,0.1891891891891892,111
WL-BASE-NO-REN-REP02,2,Grill,Beverage,34,0.3063063063063063,111
WL-BASE-NO-REN-REP02,2,Grill,Dessert,30,0.2702702702702703,111
WL-BASE-NO-REN-REP02,2,Grill,SINK,26,0.23423423423423423,111
WL-BASE-NO-REN-REP02,2,Beverage,Grill,38,0.2878787878787879,132
WL-BASE-NO-REN-REP02,2,Beverage,Beverage,22,0.16666666666666666,132
WL-BASE-NO-REN-REP02,2,Beverage,Dessert,43,0.32575757575757575,132
WL-BASE-NO-REN-REP02,2,Beverage,SINK,29,0.2196969696969697,132
WL-BASE-NO-REN-REP02,2,Dessert,Grill,33,0.264,125
WL-BASE-NO-REN-REP02,2,Dessert,Beverage,40,0.32,125
WL-BASE-NO-REN-REP02,2,Dessert,Dessert,24,0.192,125
WL-BASE-NO-REN-REP02,2,Dessert,SINK,28,0.224,125
WL-BASE-NO-REN-REP03,3,Grill,Grill,31,0.24603174603174602,126
WL-BASE-NO-REN-REP03,3,Grill,Beverage,33,0.2619047619047619,126
WL-BASE-NO-REN-REP03,3,Grill,Dessert,34,0.2698412698412698,126
WL-BASE-NO-REN-REP03,3,Grill,SINK,28,0.2222222222222222,126
WL-BASE-NO-REN-REP03,3,Beverage,Grill,37,0.2868217054263566,129
WL-BASE-NO-REN-REP03,3,Beverage,Beverage,18,0.13953488372093023,129
WL-BASE-NO-REN-REP03,3,Beverage,Dessert,45,0.3488372093023256,129
WL-BASE-NO-REN-REP03,3,Beverage,SINK,29,0.2248062015503876,129
WL-BASE-NO-REN-REP03,3,Dessert,Grill,29,0.2248062015503876,129
WL-BASE-NO-REN-REP03,3,Dessert,Beverage,46,0.35658914728682173,129
WL-BASE-NO-REN-REP03,3,Dessert,Dessert,22,0.17054263565891473,129
WL-BASE-NO-REN-REP03,3,Dessert,SINK,32,0.24806201550387597,129
WL-BASE-NO-REN-REP04,4,Grill,Grill,22,0.16666666666666666,132
WL-BASE-NO-REN-REP04,4,Grill,Beverage,36,0.2727272727272727,132
WL-BASE-NO-REN-REP04,4,Grill,Dessert,42,0.3181818181818182,132
WL-BASE-NO-REN-REP04,4,Grill,SINK,32,0.24242424242424243,132
WL-BASE-NO-REN-REP04,4,Beverage,Grill,42,0.3088235294117647,136
