Workload,Replication,Queue,AllowReneging,Servers,Buffer,ServiceRate,E_T,E_N,U,P_reject,Lambda,Arrivals,Rejected,Reneged
WL-BASE-NO-REN-REP01,1,Entrance 1,0,1,inf,0.5,1.8898253186112708,0.17163062089185507,0.18163649222138376,0.0,0.09081824611069188,57,0,0
WL-BASE-NO-REN-REP01,1,Entrance 2,0,1,inf,0.5,2.1317510670903217,0.19020536861812942,0.1784498870946928,0.0,0.0892249435473464,56,0,0
WL-BASE-NO-REN-REP01,1,Grill,0,3,10,0.3333333333333333,3.0034248711057385,0.8613656182706969,0.2867944614021849,0.0,0.2867944614021849,180,0,0
WL-BASE-NO-REN-REP01,1,Beverage,0,3,10,0.3,3.572438876273401,1.1611631078681308,0.36114858102497355,0.0,0.3250337229224762,204,0,0
WL-BASE-NO-REN-REP01,1,Dessert,0,3,10,0.25,4.191227821124267,1.2153767136351115,0.3866414220385011,0.0,0.28998106652887584,182,0,0
WL-BASE-NO-REN-REP02,2,Entrance 1,0,1,inf,0.5,1.9939208163282147,0.1372341977311696,0.13765260546693625,0.0,0.06882630273346813,43,0,0
WL-BASE-NO-REN-REP02,2,Entrance 2,0,1,inf,0.5,2.366793125705172,0.15153266993234926,0.12804893531808023,0.0,0.06402446765904012,40,0,0
WL-BASE-NO-REN-REP02,2,Grill,0,3,10,0.3333333333333333,3.025139086039299,0.537470101829564,0.17766789775383632,0.0,0.17766789775383632,111,0,0
WL-BASE-NO-REN-REP02,2,Beverage,0,3,10,0.3,3.8582006267464504,0.8151634961224142,0.23475638141648048,0.0,0.2112807432748324,132,0,0
WL-BASE-NO-REN-REP02,2,Dessert,0,3,10,0.25,4.071405868317218,0.8145924791965683,0.2667686152460005,0.0,0.20007646143450036,125,0,0
WL-BASE-NO-REN-REP03,3,Entrance 1,0,1,inf,0.5,2.307171259691259,0.18281646556907183,0.15847671888348328,0.0,0.07923835944174164,49,0,0
WL-BASE-NO-REN-REP03,3,Entrance 2,0,1,inf,0.5,2.8086906693995894,0.18167840067146987,0.12936875010896592,0.0,0.06468437505448296,40,0,0
WL-BASE-NO-REN-REP03,3,Grill,0,3,10,0.3333333333333333,2.7360818279236296,0.5574924908820773,0.20375578142162135,0.0,0.20375578142162135,126,0,0
WL-BASE-NO-REN-REP03,3,Beverage,0,3,10,0.3,3.4447920117372592,0.7186081045718766,0.23178567727856397,0.0,0.20860710955070755,129,0,0
WL-BASE-NO-REN-REP03,3,Dessert,0,3,10,0.25,3.994961626314342,0.8333773976314288,0.2781428127342767,0.0,0.20860710955070755,129,0,0
WL-BASE-NO-REN-REP04,4,Entrance 1,0,1,inf,0.5,1.8327597919550955,0.14366027284809427,0.15676934149111243,0.0,0.07838467074555622,48,0,0
WL-BASE-NO-REN-REP04,4,Entrance 2,0,1,inf,0.5,2.0451751956363213,0.15697058465345384,0.15350331354338093,0.0,0.07675165677169046,47,0,0
WL-BASE-NO-REN-REP04,4,Grill,0,3,10,0.3333333333333333,3.0487719087076472,0.6571867011664623,0.2155578445502796,0.0,0.2155578445502796,132,0,0
WL-BASE-NO-REN-REP04,4,Beverage,0,3,10,0.3,3.2822760896085708,0.7289603699766088,0.24676655605082515,0.0,0.22208990044574262,136,0,0
WL-BASE-NO-REN-REP04,4,Dessert,0,3,10,0.25,4.365398989259327,1.0265410873382288,0.31353868298222487,0.0,0.23515401223666865,144,0,0
WL-BASE-NO-REN-REP05,5,Entrance 1,0,1,inf,0.5,2.7799389838272366,0.21402154149216157,0.15397571150825104,0.0,0.07698785575412552,47,0,0
WL-BASE-NO-REN-REP05,5,Entrance 2,0,1,inf,0.5,3.2004046716852432,0.3407552991320137,0.21294513293694295,0.0,0.10647256646847147,65,0,0
WL-BASE-NO-REN-REP05,5,Grill,0,3,10,0.3333333333333333,3.437694286948705,1.0530117685851619,0.30631338353237175,0.0,0.30631338353237175,187,0,0
WL-BASE-NO-REN-REP05,5,Beverage,0,3,10,0.3,3.675730991356721,1.0897996419359735,0.329427940697322,0.0,0.2964851466275898,181,0,0
WL-BASE-NO-REN-REP05,5,Dessert,0,3,10,0.25,4.306977128841259,1.3051747399433296,0.4040497394188148,0.0,0.3030373045641111,185,0,0
WL-BASE-NO-REN-REP06,6,Entrance 1,0,1,inf,0.5,2.3324995972316835,0.17394293854252166,0.1491472399386178,0.0,0.0745736199693089,45,0,0
WL-BASE-NO-REN-REP06,6,Entrance 2,0,1,inf,0.5,2.161488036796569,0.16835398686535383,0.15577600615811193,0.0,0.07788800307905597,47,0,0
WL-BASE-NO-REN-REP06,6,Grill,0,3,10,0.3333333333333333,3.2695481958608457,0.6610286543287752,0.2021773696945708,0.0,0.2021773696945708,122,0,0
WL-BASE-NO-REN-REP06,6,Beverage,0,3,10,0.3,4.361907720651284,1.0119923292921347,0.2577853529803271,0.0,0.23200681768229436,140,0,0
WL-BASE-NO-REN-REP06,6,Dessert,0,3,10,0.25,5.1478833514681845,1.228468149435906,0.31818077853571797,0.0,0.2386355839017885,144,0,0
WL-BASE-NO-REN-REP07,7,Entrance 1,0,1,inf,0.5,2.5354317568587326,0.1837493377528117,0.14494520489911944,0.0,0.07247260244955972,45,0,0
WL-BASE-NO-REN-REP07,7,Entrance 2,0,1,inf,0.5,1.9904988054068364,0.1699022514628973,0.17071324132562957,0.0,0.08535662066281478,53,0,0
WL-BASE-NO-REN-REP07,7,Grill,0,3,10,0.3333333333333333,3.590635648656836,0.8963226674551156,0.24962785288181683,0.0,0.24962785288181683,155,0,0
WL-BASE-NO-REN-REP07,7,Beverage,0,3,10,0.3,3.34982122892337,0.9333167857944135,0.3095743265129342,0.0,0.27861689386164074,173,0,0
WL-BASE-NO-REN-REP07,7,Dessert,0,3,10,0.25,3.716072046481857,1.0592994209211657,0.3800785372910243,0.0,0.28505890296826825,177,0,0
WL-BASE-NO-REN-REP08,8,Entrance 1,0,1,inf,0.5,2.009454267006369,0.15662231825319936,0.15588542702843503,0.0,0.07794271351421751,49,0,0
WL-BASE-NO-REN-REP08,8,Entrance 2,0,1,inf,0.5,2.284909648647919,0.22534097153728652,0.19724278521965247,0.0,0.09862139260982623,62,0,0
