Workload,Replication,Queue,AllowReneging,Servers,Buffer,ServiceRate,E_T,E_N,U,P_reject,Lambda,Arrivals,Rejected,Reneged
WL-BASE-REN-REP01,1,Entrance 1,1,1,inf,0.5,1.9114488640221243,0.1733901402880815,0.18142273492289937,0.0,0.09071136746144969,57,0,1
WL-BASE-REN-REP01,1,Entrance 2,1,1,inf,0.5,1.9552682874487657,0.16469612724359267,0.16846396814269227,0.0,0.08423198407134613,56,0,4
WL-BASE-REN-REP01,1,Grill,1,3,10,0.3333333333333333,3.0292228088887976,0.922492309783334,0.3045310193348668,0.0,0.3045310193348668,194,0,6
WL-BASE-REN-REP01,1,Beverage,1,3,10,0.3,3.4003503863938787,0.9749236912753713,0.3185696833467579,0.0,0.28671271501208206,182,0,5
WL-BASE-REN-REP01,1,Dessert,1,3,10,0.25,4.093410342590488,1.1537407117456615,0.37580423662600587,0.0,0.2818531774695044,175,0,1
WL-BASE-REN-REP02,2,Entrance 1,1,1,inf,0.5,1.8032705023183597,0.11221904523484684,0.12446168790602781,0.0,0.062230843953013905,43,0,4
WL-BASE-REN-REP02,2,Entrance 2,1,1,inf,0.5,2.366793125705172,0.1510641371023842,0.1276530132369516,0.0,0.0638265066184758,40,0,0
WL-BASE-REN-REP02,2,Grill,1,3,10,0.3333333333333333,3.114712396398964,0.5119131193122732,0.16435325454257518,0.0,0.16435325454257518,103,0,0
WL-BASE-REN-REP02,2,Beverage,1,3,10,0.3,3.8869858417160854,0.8000990463558884,0.22871164871620497,0.0,0.20584048384458445,130,0,1
WL-BASE-REN-REP02,2,Dessert,1,3,10,0.25,4.03473748125836,0.6759983961972913,0.2233927731646653,0.0,0.16754457987349897,106,0,1
WL-BASE-REN-REP03,3,Entrance 1,1,1,inf,0.5,2.141983847935934,0.16237666069865553,0.15161333812589248,0.0,0.07580666906294624,49,0,1
WL-BASE-REN-REP03,3,Entrance 2,1,1,inf,0.5,2.3715315821468894,0.14232417860760652,0.12002722601633155,0.0,0.060013613008165774,40,0,2
WL-BASE-REN-REP03,3,Grill,1,3,10,0.3333333333333333,2.864897684329531,0.5157985828060282,0.18004083902449733,0.0,0.18004083902449733,114,0,0
WL-BASE-REN-REP03,3,Beverage,1,3,10,0.3,3.239008428919773,0.5831537951501349,0.20004537669388595,0.0,0.18004083902449733,116,0,2
WL-BASE-REN-REP03,3,Dessert,1,3,10,0.25,3.9938768920287595,0.8199817812121338,0.2737463049495281,0.0,0.2053097287121461,130,0,0
WL-BASE-REN-REP04,4,Entrance 1,1,1,inf,0.5,1.7430331267191082,0.11145658311370572,0.12788808359999354,0.0,0.06394404179999677,48,0,3
WL-BASE-REN-REP04,4,Entrance 2,1,1,inf,0.5,1.686963352549079,0.10547411612756186,0.12504612618666033,0.0,0.06252306309333017,47,0,3
WL-BASE-REN-REP04,4,Grill,1,3,10,0.3333333333333333,3.2823224506876985,0.6576395538285715,0.20035799763998985,0.0,0.20035799763998985,141,0,0
WL-BASE-REN-REP04,4,Beverage,1,3,10,0.3,3.134235168066629,0.6546911710197165,0.23209318875554386,0.0,0.20888386987998944,149,0,2
WL-BASE-REN-REP04,4,Dessert,1,3,10,0.25,4.235612808324545,0.8125266073923191,0.255776167199987,0.0,0.19183212539999028,140,0,5
WL-BASE-REN-REP05,5,Entrance 1,1,1,inf,0.5,2.39614554819773,0.1652525416216007,0.13793197307725819,0.0,0.06896598653862909,47,0,4
WL-BASE-REN-REP05,5,Entrance 2,1,1,inf,0.5,2.9292935716581168,0.2818906339962788,0.19246321824733703,0.0,0.09623160912366852,65,0,5
WL-BASE-REN-REP05,5,Grill,1,3,10,0.3333333333333333,3.3373443049617677,0.9688266715429824,0.2902986875230667,0.0,0.2902986875230667,184,0,3
WL-BASE-REN-REP05,5,Beverage,1,3,10,0.3,3.680793759860603,1.0449156837730438,0.3154258299053579,0.0,0.2838832469148221,178,0,1
