Workload,Replication,Queue,AllowReneging,Servers,Buffer,ServiceRate,E_T,E_N,U,P_reject,Lambda,Arrivals,Rejected,Reneged
WL-RAMP-REP01,1,Entrance 1,0,1,inf,0.5,2.199691559917866,0.2541846034650828,0.23110931377540386,0.0,0.11555465688770193,71,0,0
WL-RAMP-REP01,1,Entrance 2,0,1,inf,0.5,2.781097744389663,0.3575793641451357,0.2571497998346043,0.0,0.12857489991730214,79,0,0
WL-RAMP-REP01,1,Grill,0,3,10,0.3333333333333333,3.873607911306394,1.6454521977650423,0.4247854288407071,0.0,0.4247854288407071,261,0,0
WL-RAMP-REP01,1,Beverage,0,3,10,0.3,5.03184198297177,2.202968960100175,0.48645074652256376,0.01824817518248175,0.43780567187030733,274,5,0
WL-RAMP-REP01,1,Dessert,0,3,10,0.25,6.145832114665504,2.5706498165351426,0.557700409767876,0.003875968992248062,0.418275307325907,258,1,0
WL-RAMP-REP02,2,Entrance 1,0,1,inf,0.5,2.059667401481952,0.20754788566462604,0.2015353406237271,0.0,0.10076767031186355,64,0,0
WL-RAMP-REP02,2,Entrance 2,0,1,inf,0.5,3.1040835281906296,0.2834670844402121,0.1826414024402527,0.0,0.09132070122012635,58,0,0
WL-RAMP-REP02,2,Grill,0,3,10,0.3333333333333333,3.2347509929116374,0.9676887672342454,0.29915402123834495,0.0,0.29915402123834495,190,0,0
WL-RAMP-REP02,2,Beverage,0,3,10,0.3,5.16996970808791,1.6198780439112166,0.34813830541772306,0.0,0.3133244748759507,199,0,0
WL-RAMP-REP02,2,Dessert,0,3,10,0.25,4.495340234069099,1.309409657649549,0.38837539599364074,0.0,0.29128154699523057,185,0,0
WL-RAMP-REP03,3,Entrance 1,0,1,inf,0.5,2.831017431854627,0.3221146345036625,0.2275610392781242,0.0,0.1137805196390621,69,0,0
WL-RAMP-REP03,3,Entrance 2,0,1,inf,0.5,3.1582754475478643,0.30206250510067634,0.1912831924366841,0.0,0.09564159621834205,58,0,0
WL-RAMP-REP03,3,Grill,0,3,10,0.3333333333333333,3.6593230075207406,1.2309764254763569,0.33639457980244447,0.0,0.33639457980244447,204,0,0
