Workload,Replication,Queue,AllowReneging,Servers,Buffer,ServiceRate,E_T,E_N,U,P_reject,Lambda,Arrivals,Rejected,Reneged
WL-STRESS-NO-REN-X100-REP01,1,Entrance 1,0,1,inf,0.5,77.19831883049406,32.93539672556791,0.8532672012685882,0.0,0.4266336006342941,340,0,0
WL-STRESS-NO-REN-X100-REP01,1,Entrance 2,0,1,inf,0.5,58.52978715652372,25.044217291414068,0.8557768106840841,0.0,0.42788840534204203,341,0,0
WL-STRESS-NO-REN-X100-REP01,1,Grill,0,3,10,0.3333333333333333,7.763628248709431,6.3516779037468565,0.8181326694516463,0.057803468208092484,0.8181326694516463,692,40,0
WL-STRESS-NO-REN-X100-REP01,1,Beverage,0,3,10,0.3,10.211588143831747,7.816264814642406,0.8504787463624819,0.18010752688172044,0.7654308717262336,744,134,0
WL-STRESS-NO-REN-X100-REP01,1,Dessert,0,3,10,0.25,13.046309160008308,9.069295864603161,0.9268824107897998,0.20287769784172663,0.6951618080923498,695,141,0
WL-STRESS-NO-REN-X100-REP02,2,Entrance 1,0,1,inf,0.5,70.75491259265284,31.24684606652981,0.8832417402993009,0.0,0.44162087014965046,349,0,0
WL-STRESS-NO-REN-X100-REP02,2,Entrance 2,0,1,inf,0.5,65.36581510328163,28.784194940101532,0.8807109616738015,0.0,0.44035548083690074,348,0,0
WL-STRESS-NO-REN-X100-REP02,2,Grill,0,3,10,0.3333333333333333,7.116967500853175,5.925773376516458,0.8326261677893123,0.06401137980085349,0.8326261677893123,703,45,0
WL-STRESS-NO-REN-X100-REP02,2,Beverage,0,3,10,0.3,9.254742261284651,7.494945247796944,0.899832400177575,0.13396481732070364,0.8098491601598174,739,99,0
WL-STRESS-NO-REN-X100-REP02,2,Dessert,0,3,10,0.25,13.100604644330076,9.415943381056909,0.9583215061891174,0.25065963060686014,0.718741129641838,758,190,0
WL-STRESS-NO-REN-X100-REP03,3,Entrance 1,0,1,inf,0.5,107.2642844792883,47.910119217176266,0.8933098178905439,0.0,0.44665490894527193,368,0,0
WL-STRESS-NO-REN-X100-REP03,3,Entrance 2,0,1,inf,0.5,29.02525641792883,11.696029138961338,0.8059208139664689,0.0,0.40296040698323443,332,0,0
WL-STRESS-NO-REN-X100-REP03,3,Grill,0,3,10,0.3333333333333333,6.377319919671553,5.604037890157323,0.878744983903198,0.0461133069828722,0.878744983903198,759,35,0
WL-STRESS-NO-REN-X100-REP03,3,Beverage,0,3,10,0.3,9.026603743014952,7.2089923434301015,0.88737599663644,0.13761467889908258,0.7986383969727959,763,105,0
WL-STRESS-NO-REN-X100-REP03,3,Dessert,0,3,10,0.25,13.567785590661604,10.045304355781026,0.9871720813645503,0.22490470139771285,0.7403790610234127,787,177,0
WL-STRESS-NO-REN-X100-REP04,4,Entrance 1,0,1,inf,0.5,82.25830376930288,38.673618513050435,0.9402970093210855,0.0,0.47014850466054275,375,0,0
WL-STRESS-NO-REN-X100-REP04,4,Entrance 2,0,1,inf,0.5,46.12655649199045,19.83576460007555,0.8600583311923529,0.0,0.43002916559617643,343,0,0
WL-STRESS-NO-REN-X100-REP04,4,Grill,0,3,10,0.3333333333333333,8.139307660553575,6.826803052837153,0.8387449323144083,0.07851239669421488,0.8387449323144083,726,57,0
WL-STRESS-NO-REN-X100-REP04,4,Beverage,0,3,10,0.3,10.116721159850417,8.041421547427822,0.8831826724586196,0.1279229711141678,0.7948644052127576,727,93,0
WL-STRESS-NO-REN-X100-REP04,4,Dessert,0,3,10,0.25,14.524885024256351,9.90638938170431,0.9093716854589697,0.2598639455782313,0.6820287640942273,735,191,0
WL-STRESS-NO-REN-X100-REP05,5,Entrance 1,0,1,inf,0.5,33.29924980005339,11.72507823178077,0.7042247679563022,0.0,0.3521123839781511,312,0,0
WL-STRESS-NO-REN-X100-REP05,5,Entrance 2,0,1,inf,0.5,113.31381027063216,45.52600554630227,0.803538517283473,0.0,0.4017692586417365,356,0,0
WL-STRESS-NO-REN-X100-REP05,5,Grill,0,3,10,0.3333333333333333,6.404959784688936,4.9586930837266365,0.7741958186186272,0.02695035460992908,0.7741958186186272,705,19,0
WL-STRESS-NO-REN-X100-REP05,5,Beverage,0,3,10,0.3,10.531744627591218,7.333515083342087,0.7736942340260657,0.17402945113788487,0.6963248106234591,747,130,0
WL-STRESS-NO-REN-X100-REP05,5,Dessert,0,3,10,0.25,12.905892704861444,8.185610423055595,0.8456716230586364,0.22052704576976423,0.6342537172939773,721,159,0
WL-STRESS-NO-REN-X100-REP06,6,Entrance 1,0,1,inf,0.5,65.00997970624563,29.66975269546909,0.9127753255587822,0.0,0.4563876627793911,349,0,0
WL-STRESS-NO-REN-X100-REP06,6,Entrance 2,0,1,inf,0.5,69.19436189990724,30.946054332130153,0.8944675110060272,0.0,0.4472337555030136,342,0,0
WL-STRESS-NO-REN-X100-REP06,6,Grill,0,3,10,0.3333333333333333,7.15648974367262,6.4106061176398565,0.8957752120455097,0.04329608938547486,0.8957752120455097,716,31,0
WL-STRESS-NO-REN-X100-REP06,6,Beverage,0,3,10,0.3,10.579388682168405,8.549830742438283,0.8979547137779805,0.1693548387096774,0.8081592424001824,744,126,0
WL-STRESS-NO-REN-X100-REP06,6,Dessert,0,3,10,0.25,14.299634069160367,10.284805485053178,0.9589807622871637,0.23717059639389737,0.7192355717153728,721,171,0
WL-STRESS-NO-REN-X100-REP07,7,Entrance 1,0,1,inf,0.5,68.97710058381739,28.446912391237223,0.824821923521416,0.0,0.412410961760708,316,0,0
WL-STRESS-NO-REN-X100-REP07,7,Entrance 2,0,1,inf,0.5,74.99695888454474,33.082892293144745,0.8822462346526538,0.0,0.4411231173263269,338,0,0
WL-STRESS-NO-REN-X100-REP07,7,Grill,0,3,10,0.3333333333333333,8.17511709113371,6.785693119337671,0.8300423154424377,0.06744868035190615,0.8300423154424377,682,46,0
WL-STRESS-NO-REN-X100-REP07,7,Beverage,0,3,10,0.3,8.755691739665911,7.473281285785703,0.9483711989855945,0.06970128022759602,0.8535340790870349,703,49,0
WL-STRESS-NO-REN-X100-REP07,7,Dessert,0,3,10,0.25,13.970784789438023,10.155916357282125,0.969252766669681,0.26517150395778366,0.7269395750022607,758,201,0
WL-STRESS-NO-REN-X100-REP08,8,Entrance 1,0,1,inf,0.5,50.287365659114585,21.20206329651562,0.843236189393538,0.0,0.421618094696769,325,0,0
WL-STRESS-NO-REN-X100-REP08,8,Entrance 2,0,1,inf,0.5,86.22009074131515,41.04974089396138,0.9522082507920875,0.0,0.47610412539604374,367,0,0
WL-STRESS-NO-REN-X100-REP08,8,Grill,0,3,10,0.3333333333333333,7.034236469904701,6.141407407547856,0.873073777633617,0.039942938659058486,0.873073777633617,701,28,0
WL-STRESS-NO-REN-X100-REP08,8,Beverage,0,3,10,0.3,9.73967373566383,8.339196833978994,0.9513433931619404,0.13725490196078433,0.8562090538457463,765,105,0
WL-STRESS-NO-REN-X100-REP08,8,Dessert,0,3,10,0.25,12.179063537483207,9.432441223468132,1.032640010395779,0.17427385892116182,0.7744800077968341,723,126,0
WL-STRESS-NO-REN-X100-REP09,9,Entrance 1,0,1,inf,0.5,77.29894806265999,31.801670816977637,0.8228228614753877,0.0,0.4114114307376939,328,0,0
