Workload,Replication,Queue,AllowReneging,Servers,Buffer,ServiceRate,E_T,E_N,U,P_reject,Lambda,Arrivals,Rejected,Reneged
WL-STRESS-REN-X100-REP01,1,Entrance 1,1,1,inf,0.5,9.617773339344415,4.316662692147554,0.8976428409866841,0.0,0.44882142049334206,5013,0,4715
WL-STRESS-REN-X100-REP01,1,Entrance 2,1,1,inf,0.5,9.174819007029916,4.463312958858883,0.9729484484520099,0.0,0.48647422422600495,5010,0,4687
WL-STRESS-REN-X100-REP01,1,Grill,1,3,10,0.3333333333333333,3.351805701075843,2.1606275834802147,0.6446159999031892,0.0,0.6446159999031892,510,0,82
WL-STRESS-REN-X100-REP01,1,Beverage,1,3,10,0.3,4.059869343104256,2.6782029215039183,0.7329745793291716,0.0,0.6596771213962545,554,0,116
WL-STRESS-REN-X100-REP01,1,Dessert,1,3,10,0.25,4.595808044120148,2.637206688160521,0.7651049718477106,0.0,0.573828728885783,536,0,155
WL-STRESS-REN-X100-REP02,2,Entrance 1,1,1,inf,0.5,9.213359075124608,4.2801503973215205,0.9291183296823006,0.0,0.4645591648411503,5152,0,4839
WL-STRESS-REN-X100-REP02,2,Entrance 2,1,1,inf,0.5,9.417821731044429,4.40309153472525,0.9350551880189286,0.0,0.4675275940094643,5020,0,4705
WL-STRESS-REN-X100-REP02,2,Grill,1,3,10,0.3333333333333333,3.4879204282695055,2.3347468879755917,0.6693807774548204,0.0,0.6693807774548204,561,0,110
WL-STRESS-REN-X100-REP02,2,Beverage,1,3,10,0.3,4.003143622827647,2.4835570936449685,0.6893352179751538,0.0,0.6204016961776384,528,0,110
WL-STRESS-REN-X100-REP02,2,Dessert,1,3,10,0.25,4.553026012044986,2.797674390177124,0.8192864504546803,0.0,0.6144648378410102,577,0,163
WL-STRESS-REN-X100-REP03,3,Entrance 1,1,1,inf,0.5,9.222052504791932,4.3275917565134066,0.9385311467842365,0.0,0.4692655733921183,4956,0,4651
WL-STRESS-REN-X100-REP03,3,Entrance 2,1,1,inf,0.5,9.148901300696721,4.814086655260772,1.0523857449187177,0.0,0.5261928724593589,5038,0,4696
WL-STRESS-REN-X100-REP03,3,Grill,1,3,10,0.3333333333333333,3.3647385646148593,2.5263295549417037,0.7508249174273892,0.0,0.7508249174273892,586,0,98
WL-STRESS-REN-X100-REP03,3,Beverage,1,3,10,0.3,3.9128730005372288,2.5224852201147594,0.7162924417169311,0.0,0.6446631975452379,549,0,130
WL-STRESS-REN-X100-REP03,3,Dessert,1,3,10,0.25,4.381073600809742,2.8243169161790376,0.8595509300603172,0.0,0.6446631975452379,579,0,160
WL-STRESS-REN-X100-REP04,4,Entrance 1,1,1,inf,0.5,9.826555126835673,4.878412555659122,0.9929039205889152,0.0,0.4964519602944576,5160,0,4841
WL-STRESS-REN-X100-REP04,4,Entrance 2,1,1,inf,0.5,9.241717335711693,4.8181912552145745,1.042704744192121,0.0,0.5213523720960604,5014,0,4679
WL-STRESS-REN-X100-REP04,4,Grill,1,3,10,0.3333333333333333,3.4936868305155415,2.5010844225881215,0.7158868392960831,0.0,0.7158868392960831,561,0,101
WL-STRESS-REN-X100-REP04,4,Beverage,1,3,10,0.3,3.9888170886753733,2.8369185603715255,0.7902422356480917,0.0,0.7112180120832825,582,0,125
WL-STRESS-REN-X100-REP04,4,Dessert,1,3,10,0.25,4.884985973277427,2.9649302080042568,0.8092633835520938,0.0,0.6069475376640704,551,0,161
WL-STRESS-REN-X100-REP05,5,Entrance 1,1,1,inf,0.5,9.309096798942791,4.407787761677425,0.9469850527664521,0.0,0.47349252638322603,4993,0,4683
WL-STRESS-REN-X100-REP05,5,Entrance 2,1,1,inf,0.5,9.428806796890369,4.21964380146585,0.8950536143889369,0.0,0.44752680719446847,5048,0,4755
WL-STRESS-REN-X100-REP05,5,Grill,1,3,10,0.3333333333333333,3.5128667674976732,2.3018149448166914,0.6552525607045289,0.0,0.6552525607045289,512,0,83
WL-STRESS-REN-X100-REP05,5,Beverage,1,3,10,0.3,4.5105182120493525,2.721290909970051,0.670356802585571,0.0,0.6033211223270138,542,0,147
WL-STRESS-REN-X100-REP05,5,Dessert,1,3,10,0.25,4.71906997055163,2.724580545285476,0.7698072041843417,0.0,0.5773554031382563,497,0,119
WL-STRESS-REN-X100-REP06,6,Entrance 1,1,1,inf,0.5,9.024715985967777,4.364916791749945,0.9673250213163062,0.0,0.4836625106581531,5034,0,4704
WL-STRESS-REN-X100-REP06,6,Entrance 2,1,1,inf,0.5,9.673176749266274,4.239052523710512,0.876455095071441,0.0,0.4382275475357205,5057,0,4758
WL-STRESS-REN-X100-REP06,6,Grill,1,3,10,0.3333333333333333,3.459051523614377,2.301661058063293,0.6654023631478834,0.0,0.6654023631478834,563,0,109
WL-STRESS-REN-X100-REP06,6,Beverage,1,3,10,0.3,4.257861710715457,2.627254435762969,0.6855956800911869,0.0,0.6170361120820681,546,0,125
WL-STRESS-REN-X100-REP06,6,Dessert,1,3,10,0.25,5.022225991380444,2.694051061038283,0.7152342581853901,0.0,0.5364256936390426,523,0,157
WL-STRESS-REN-X100-REP07,7,Entrance 1,1,1,inf,0.5,9.565159937480727,4.33916057243284,0.9072844784183899,0.0,0.45364223920919494,4983,0,4689
WL-STRESS-REN-X100-REP07,7,Entrance 2,1,1,inf,0.5,9.665695317406868,4.444424370258775,0.9196284849274836,0.0,0.4598142424637418,5053,0,4755
WL-STRESS-REN-X100-REP07,7,Grill,1,3,10,0.3333333333333333,3.7371126179411314,2.4680054227378694,0.6604043482365151,0.0,0.6604043482365151,525,0,97
WL-STRESS-REN-X100-REP07,7,Beverage,1,3,10,0.3,3.5443971944577903,2.3899563888913304,0.7492126172880507,0.0,0.6742913555592456,522,0,85
WL-STRESS-REN-X100-REP07,7,Dessert,1,3,10,0.25,4.692878643654918,3.0050629596650342,0.8537937835456503,0.0,0.6403453376592377,571,0,156
WL-STRESS-REN-X100-REP08,8,Entrance 1,1,1,inf,0.5,9.444478643320958,4.549733836581633,0.9634695589680136,0.0,0.4817347794840068,4964,0,4655
WL-STRESS-REN-X100-REP08,8,Entrance 2,1,1,inf,0.5,9.597930490628679,4.773289838710228,0.9946498035948101,0.0,0.4973249017974051,5016,0,4697
WL-STRESS-REN-X100-REP08,8,Grill,1,3,10,0.3333333333333333,3.3122372082942677,2.365028790939979,0.7140276019536411,0.0,0.7140276019536411,550,0,92
WL-STRESS-REN-X100-REP08,8,Beverage,1,3,10,0.3,3.944088657828509,2.723954929356195,0.7673804649817153,0.0,0.6906424184835437,569,0,126
WL-STRESS-REN-X100-REP08,8,Dessert,1,3,10,0.25,4.2980289669004605,2.7807820879710414,0.8626534346747047,0.0,0.6469900760060285,548,0,133
WL-STRESS-REN-X100-REP09,9,Entrance 1,1,1,inf,0.5,9.381844285343655,4.264746977116173,0.9091489577968316,0.0,0.4545744788984158,5044,0,4742
WL-STRESS-REN-X100-REP09,9,Entrance 2,1,1,inf,0.5,8.978385837253692,4.230003327214221,0.9422636549351268,0.0,0.4711318274675634,4887,0,4574
WL-STRESS-REN-X100-REP09,9,Grill,1,3,10,0.3333333333333333,3.2343599636678446,2.3368331047219226,0.7225024830173497,0.0,0.7225024830173497,578,0,98
WL-STRESS-REN-X100-REP09,9,Beverage,1,3,10,0.3,3.3818744894384483,2.3823273979755024,0.7827110232687955,0.0,0.7044399209419159,565,0,97
WL-STRESS-REN-X100-REP09,9,Dessert,1,3,10,0.25,5.008706064362814,2.932737914650433,0.7807040719270805,0.0,0.5855280539453104,537,0,148
WL-STRESS-REN-X100-REP10,10,Entrance 1,1,1,inf,0.5,9.418745603925146,4.3756277088103825,0.9291317321463474,0.0,0.4645658660731737,4871,0,4570
WL-STRESS-REN-X100-REP10,10,Entrance 2,1,1,inf,0.5,9.712026839360709,4.646782756098305,0.9569130796191617,0.0,0.47845653980958086,5082,0,4772
WL-STRESS-REN-X100-REP10,10,Grill,1,3,10,0.3333333333333333,3.4150974821592874,2.4246091394713503,0.7099677687497007,0.0,0.7099677687497007,575,0,115
WL-STRESS-REN-X100-REP10,10,Beverage,1,3,10,0.3,4.149392465568366,2.702575070018211,0.723686952686893,0.0,0.6513182574182036,534,0,112
WL-STRESS-REN-X100-REP10,10,Dessert,1,3,10,0.25,4.73831163850371,2.8886938563990014,0.8128616482786427,0.0,0.6096462362089821,535,0,140
WL-STRESS-REN-X100-REP11,11,Entrance 1,1,1,inf,0.5,9.76751286057012,4.380721878576833,0.8969984357555553,0.0,0.44849921787777763,4981,0,4684
WL-STRESS-REN-X100-REP11,11,Entrance 2,1,1,inf,0.5,9.272694018664774,4.522865699805133,0.9755235513435837,0.0,0.48776177567179185,4932,0,4609
WL-STRESS-REN-X100-REP11,11,Grill,1,3,10,0.3333333333333333,3.848764608538525,2.580533855306359,0.6704836792516272,0.0,0.6704836792516272,546,0,102
WL-STRESS-REN-X100-REP11,11,Beverage,1,3,10,0.3,4.13607829290713,2.7044682552252324,0.7265251078977844,0.0,0.6538725971080058,553,0,120
WL-STRESS-REN-X100-REP11,11,Dessert,1,3,10,0.25,4.610758191282118,2.8198928762912545,0.8154531234141412,0.0,0.6115898425606059,548,0,143
WL-STRESS-REN-X100-REP12,12,Entrance 1,1,1,inf,0.5,9.580847068887465,4.274454591784056,0.8922915815376664,0.0,0.4461457907688332,4976,0,4692
WL-STRESS-REN-X100-REP12,12,Entrance 2,1,1,inf,0.5,9.464553940726882,4.460462220591413,0.9425615297933096,0.0,0.4712807648966548,5097,0,4797
WL-STRESS-REN-X100-REP12,12,Grill,1,3,10,0.3333333333333333,3.3706531416128875,2.361605666293876,0.7006374038130267,0.0,0.7006374038130267,531,0,85
WL-STRESS-REN-X100-REP12,12,Beverage,1,3,10,0.3,4.170758743461811,2.6863177734513943,0.7156485689171426,0.0,0.6440837120254282,541,0,131
WL-STRESS-REN-X100-REP12,12,Dessert,1,3,10,0.25,4.57828119988564,2.768991694435735,0.8064137532676093,0.0,0.604810314950707,520,0,135
WL-STRESS-REN-X100-REP13,13,Entrance 1,1,1,inf,0.5,9.136848685465461,4.579273827564007,1.0023748855222996,0.0,0.5011874427611498,4992,0,4661
WL-STRESS-REN-X100-REP13,13,Entrance 2,1,1,inf,0.5,9.511552615884973,4.507834257378309,0.9478650730165552,0.0,0.4739325365082776,5158,0,4845
WL-STRESS-REN-X100-REP13,13,Grill,1,3,10,0.3333333333333333,3.2234063338120387,2.3671674533242424,0.7343683073690563,0.0,0.7343683073690563,564,0,79
WL-STRESS-REN-X100-REP13,13,Beverage,1,3,10,0.3,3.9182929933478152,2.640153063956467,0.7486687211437116,0.0,0.6738018490293404,577,0,132
WL-STRESS-REN-X100-REP13,13,Dessert,1,3,10,0.25,4.648766121148502,2.8155929960762385,0.8075527778628798,0.0,0.6056645833971599,560,0,160
WL-STRESS-REN-X100-REP14,14,Entrance 1,1,1,inf,0.5,9.264307555555744,4.79360818243894,1.0348551478225148,0.0,0.5174275739112574,5065,0,4734
WL-STRESS-REN-X100-REP14,14,Entrance 2,1,1,inf,0.5,9.81355648162919,4.402809532134894,0.8972913215258663,0.0,0.44864566076293316,4966,0,4679
WL-STRESS-REN-X100-REP14,14,Grill,1,3,10,0.3333333333333333,3.727313714987199,2.6511171486469847,0.7112675109656257,0.0,0.7112675109656257,594,0,139
WL-STRESS-REN-X100-REP14,14,Beverage,1,3,10,0.3,3.7966834461506602,2.5936262956041864,0.7590327284297399,0.0,0.6831294555867659,552,0,115
WL-STRESS-REN-X100-REP14,14,Dessert,1,3,10,0.25,4.798196259163464,2.9402594181733432,0.8170457561861547,0.0,0.612784317139616,529,0,137
WL-STRESS-REN-X100-REP15,15,Entrance 1,1,1,inf,0.5,9.375208325305536,4.786030738662249,1.0209972029621588,0.0,0.5104986014810794,5081,0,4759
WL-STRESS-REN-X100-REP15,15,Entrance 2,1,1,inf,0.5,9.952510233846706,4.433815708462638,0.8909944535166665,0.0,0.44549722675833325,4960,0,4679
WL-STRESS-REN-X100-REP15,15,Grill,1,3,10,0.3333333333333333,3.6155035304718495,2.6137997830926634,0.7229421188676155,0.0,0.7229421188676155,554,0,98
WL-STRESS-REN-X100-REP15,15,Beverage,1,3,10,0.3,3.6264291787577845,2.5814530243248033,0.7909381368702714,0.0,0.7118443231832442,559,0,110
WL-STRESS-REN-X100-REP15,15,Dessert,1,3,10,0.25,4.532174885757091,2.8669376006143463,0.843432472012218,0.0,0.6325743540091635,524,0,125
WL-STRESS-REN-X100-REP16,16,Entrance 1,1,1,inf,0.5,9.674272011724462,4.443625674662131,0.918648073834766,0.0,0.459324036917383,5008,0,4716
WL-STRESS-REN-X100-REP16,16,Entrance 2,1,1,inf,0.5,9.236606916731187,4.51865487761688,0.9784231197349733,0.0,0.48921155986748666,4887,0,4576
WL-STRESS-REN-X100-REP16,16,Grill,1,3,10,0.3333333333333333,3.3207258298177402,2.455088770597343,0.7393229361341439,0.0,0.7393229361341439,563,0,93
WL-STRESS-REN-X100-REP16,16,Beverage,1,3,10,0.3,3.7015841501896145,2.5969214122777546,0.7795225284062132,0.0,0.7015702755655918,557,0,111
WL-STRESS-REN-X100-REP16,16,Dessert,1,3,10,0.25,4.624011535095691,2.931300058069305,0.8452401227292481,0.0,0.6339300920469361,558,0,155
WL-STRESS-REN-X100-REP17,17,Entrance 1,1,1,inf,0.5,8.790767070198585,4.550357588286187,1.0352583686837225,0.0,0.5176291843418612,4956,0,4612
WL-STRESS-REN-X100-REP17,17,Entrance 2,1,1,inf,0.5,9.135764541605282,4.35777167534683,0.9540026246300582,0.0,0.4770013123150291,4990,0,4673
WL-STRESS-REN-X100-REP17,17,Grill,1,3,10,0.3333333333333333,3.641950357844896,2.641443779929637,0.7252827524790033,0.0,0.7252827524790033,595,0,113
WL-STRESS-REN-X100-REP17,17,Beverage,1,3,10,0.3,3.660085336018395,2.5389400612073167,0.7707592182868155,0.0,0.6936832964581339,584,0,123
WL-STRESS-REN-X100-REP17,17,Dessert,1,3,10,0.25,4.553692709558773,2.925848987667877,0.8566963632324603,0.0,0.6425222724243452,586,0,159
WL-STRESS-REN-X100-REP18,18,Entrance 1,1,1,inf,0.5,9.423373882119547,4.260097210004171,0.9041554040612834,0.0,0.4520777020306417,5020,0,4724
