Workload,Replication,Queue,AllowReneging,Servers,Buffer,ServiceRate,E_T,E_N,U,P_reject,Lambda,Arrivals,Rejected,Reneged
WL-STRESS-REP01,1,Entrance 1,1,1,inf,0.5,2.122640954660421,0.32154753308664585,0.3029693103590257,0.0,0.15148465517951284,111,0,6
WL-STRESS-REP01,1,Entrance 2,1,1,inf,0.5,1.9214195429873595,0.27997736447034616,0.2914276223453485,0.0,0.14571381117267426,118,0,17
WL-STRESS-REP01,1,Grill,1,3,10,0.3333333333333333,3.121044529478367,1.2337576865841358,0.395302814468443,0.0,0.395302814468443,289,0,15
WL-STRESS-REP01,1,Beverage,1,3,10,0.3,3.398673691200941,1.2797623245598666,0.41838619049579745,0.0,0.37654757144621764,269,0,8
WL-STRESS-REP01,1,Dessert,1,3,10,0.25,4.097041968239187,1.6136613735182355,0.5251468046223112,0.0,0.3938601034667334,299,0,26
WL-STRESS-REP02,2,Entrance 1,1,1,inf,0.5,2.0066647491962355,0.2858538309623954,0.28490442270129424,0.0,0.14245221135064712,104,0,14
WL-STRESS-REP02,2,Entrance 2,1,1,inf,0.5,2.442900071435789,0.309330237586384,0.2532483757344838,0.0,0.1266241878672419,93,0,13
WL-STRESS-REP02,2,Grill,1,3,10,0.3333333333333333,3.1592435701679,1.140104456339851,0.3608789354216394,0.0,0.3608789354216394,234,0,6
WL-STRESS-REP02,2,Beverage,1,3,10,0.3,3.763381476967101,1.364081790032849,0.4027352641888666,0.0,0.3624617377699799,242,0,13
WL-STRESS-REP02,2,Dessert,1,3,10,0.25,4.005874208482986,1.3885710558512498,0.4621782857154329,0.0,0.3466337142865747,229,0,10
WL-STRESS-REP03,3,Entrance 1,1,1,inf,0.5,2.2142358964218642,0.34751745375493487,0.3138937945288595,0.0,0.15694689726442976,113,0,15
WL-STRESS-REP03,3,Entrance 2,1,1,inf,0.5,2.164359636381114,0.27036513572002097,0.24983383646174534,0.0,0.12491691823087267,92,0,14
WL-STRESS-REP03,3,Grill,1,3,10,0.3333333333333333,2.961502720416158,1.1193110665044719,0.37795375259597375,0.0,0.37795375259597375,243,0,7
WL-STRESS-REP03,3,Beverage,1,3,10,0.3,3.6201033564485323,1.449397932579452,0.4448608199105153,0.0,0.4003747379194637,269,0,19
WL-STRESS-REP03,3,Dessert,1,3,10,0.25,3.6129624413667103,1.3828911793897596,0.510344332601343,0.0,0.3827582494510073,246,0,7
WL-STRESS-REP04,4,Entrance 1,1,1,inf,0.5,2.0130302282078025,0.2901269207754748,0.2882489460019429,0.0,0.14412447300097145,103,0,16
WL-STRESS-REP04,4,Entrance 2,1,1,inf,0.5,1.9004175788865127,0.29278610838630426,0.3081281836572493,0.0,0.15406409182862466,103,0,10
WL-STRESS-REP04,4,Grill,1,3,10,0.3333333333333333,3.1885039498099976,1.294110983906104,0.40586776879583913,0.0,0.40586776879583913,252,0,7
WL-STRESS-REP04,4,Beverage,1,3,10,0.3,3.2995803581246346,1.3774559841407532,0.4638488786238162,0.0,0.41746399076143453,260,0,8
WL-STRESS-REP04,4,Dessert,1,3,10,0.25,4.512256597695914,1.8463295544190317,0.5455746334289647,0.0,0.4091809750717235,265,0,18
WL-STRESS-REP05,5,Entrance 1,1,1,inf,0.5,2.409192221112134,0.3392931441510477,0.2816654820464453,0.0,0.14083274102322266,107,0,14
WL-STRESS-REP05,5,Entrance 2,1,1,inf,0.5,2.564592921671558,0.42331691326543974,0.33012405960282304,0.0,0.16506202980141152,131,0,22
WL-STRESS-REP05,5,Grill,1,3,10,0.3333333333333333,3.310758530820479,1.2533956955953378,0.3785826371592007,0.0,0.3785826371592007,262,0,12
WL-STRESS-REP05,5,Beverage,1,3,10,0.3,3.877021896367553,1.5029997300232125,0.43074291161224615,0.0,0.3876686204510215,281,0,25
WL-STRESS-REP05,5,Dessert,1,3,10,0.25,4.314633696665359,1.5811751503552176,0.4886239903601417,0.0,0.3664679927701063,255,0,13
WL-STRESS-REP06,6,Entrance 1,1,1,inf,0.5,2.1406903090891483,0.310291124451057,0.2898981913764856,0.0,0.1449490956882428,98,0,6
WL-STRESS-REP06,6,Entrance 2,1,1,inf,0.5,1.9843531613361713,0.3032622721455764,0.3056535278643381,0.0,0.15282676393216904,117,0,20
WL-STRESS-REP06,6,Grill,1,3,10,0.3333333333333333,3.2804571492510313,1.1474004780935747,0.349768470030325,0.0,0.349768470030325,232,0,10
WL-STRESS-REP06,6,Beverage,1,3,10,0.3,3.9978674035740367,1.5494985559573016,0.43064586400130117,0.0,0.387581277601171,261,0,15
WL-STRESS-REP06,6,Dessert,1,3,10,0.25,4.480061754256826,1.6516862019373941,0.49156649842099737,0.0,0.36867487381574804,255,0,21
WL-STRESS-REP07,7,Entrance 1,1,1,inf,0.5,2.4139482641706507,0.35356409034295055,0.29293427335686745,0.0,0.14646713667843372,109,0,15
WL-STRESS-REP07,7,Entrance 2,1,1,inf,0.5,2.2800827036896685,0.3232989769675501,0.2835853071859036,0.0,0.1417926535929518,112,0,21
WL-STRESS-REP07,7,Grill,1,3,10,0.3333333333333333,3.622322177075287,1.3376662160054553,0.3692841637530722,0.0,0.3692841637530722,249,0,12
WL-STRESS-REP07,7,Beverage,1,3,10,0.3,3.296487133191574,1.3046602765952189,0.4397476680416332,0.0,0.39577290123746983,261,0,7
WL-STRESS-REP07,7,Dessert,1,3,10,0.25,4.125247729987532,1.600522261191703,0.5173094614599999,0.0,0.38798209609499995,270,0,21
WL-STRESS-REP08,8,Entrance 1,1,1,inf,0.5,2.133669249315005,0.3125954853284065,0.29301212962483514,0.0,0.14650606481241757,105,0,15
WL-STRESS-REP08,8,Entrance 2,1,1,inf,0.5,2.327889634099597,0.40168105176235963,0.3451031748914725,0.0,0.17255158744573626,129,0,23
WL-STRESS-REP08,8,Grill,1,3,10,0.3333333333333333,3.0928333705636857,1.30397534640699,0.42161189762684614,0.0,0.42161189762684614,263,0,4
WL-STRESS-REP08,8,Beverage,1,3,10,0.3,3.2262868328695453,1.3497371230537512,0.46484023033075705,0.0,0.4183562072976813,269,0,12
WL-STRESS-REP08,8,Dessert,1,3,10,0.25,3.545201596716573,1.4831570941080294,0.5578082763969084,0.0,0.4183562072976813,271,0,14
WL-STRESS-REP09,9,Entrance 1,1,1,inf,0.5,2.588940079781918,0.37764103558104245,0.2917340872662093,0.0,0.14586704363310465,109,0,14
WL-STRESS-REP09,9,Entrance 2,1,1,inf,0.5,1.7862671168710895,0.2605575034770153,0.2917340872662093,0.0,0.14586704363310465,109,0,14
WL-STRESS-REP09,9,Grill,1,3,10,0.3333333333333333,2.9138579337836594,1.2214187891203554,0.419175820124606,0.0,0.419175820124606,281,0,8
WL-STRESS-REP09,9,Beverage,1,3,10,0.3,3.2362601452557946,1.2422728942529069,0.42651182348861016,0.0,0.3838606411397491,264,0,14
WL-STRESS-REP09,9,Dessert,1,3,10,0.25,4.546792033258623,1.6126890826345608,0.4729163098841709,0.0,0.35468723241312816,248,0,17
WL-STRESS-REP10,10,Entrance 1,1,1,inf,0.5,2.132652886823875,0.29835869833375894,0.2798005246677528,0.0,0.1399002623338764,99,0,12
WL-STRESS-REP10,10,Entrance 2,1,1,inf,0.5,2.7795177793267083,0.40673366954646767,0.29266491660650007,0.0,0.14633245830325003,113,0,22
WL-STRESS-REP10,10,Grill,1,3,10,0.3333333333333333,3.2555636179891856,1.156958380787238,0.35537882730789294,0.0,0.35537882730789294,223,0,2
WL-STRESS-REP10,10,Beverage,1,3,10,0.3,3.6663740444542015,1.1968289448109357,0.36270438382856846,0.0,0.3264339454457116,211,0,8
WL-STRESS-REP10,10,Dessert,1,3,10,0.25,4.280763792239507,1.4524560374424558,0.4523977831792785,0.0,0.33929833738445886,224,0,13
WL-STRESS-REP11,11,Entrance 1,1,1,inf,0.5,2.0199623088224627,0.3065142095137615,0.30348507808786196,0.0,0.15174253904393098,111,0,15
WL-STRESS-REP11,11,Entrance 2,1,1,inf,0.5,1.9372690477271897,0.33377403675369044,0.3445820157455932,0.0,0.1722910078727966,120,0,11
WL-STRESS-REP11,11,Grill,1,3,10,0.3333333333333333,3.3992871872128196,1.294914260033847,0.3809369990582017,0.0,0.3809369990582017,249,0,8
WL-STRESS-REP11,11,Beverage,1,3,10,0.3,3.8481096023766312,1.5753726842733966,0.4548763612543764,0.0,0.40938872512893876,274,0,15
WL-STRESS-REP11,11,Dessert,1,3,10,0.25,4.069773299753969,1.685417981932505,0.5521742392987489,0.0,0.4141306794740616,274,0,12
WL-STRESS-REP12,12,Entrance 1,1,1,inf,0.5,2.3125835812127518,0.3680102063418211,0.31826759415876443,0.0,0.15913379707938222,116,0,16
WL-STRESS-REP12,12,Entrance 2,1,1,inf,0.5,1.996776317926955,0.28280159167701463,0.28325815880130034,0.0,0.14162907940065017,100,0,11
WL-STRESS-REP12,12,Grill,1,3,10,0.3333333333333333,3.067488448242704,1.2447597648783089,0.4057911825524247,0.0,0.4057911825524247,262,0,7
WL-STRESS-REP12,12,Beverage,1,3,10,0.3,3.5703033712497034,1.4885685423437856,0.4632561648310905,0.0,0.41693054834798143,277,0,15
WL-STRESS-REP12,12,Dessert,1,3,10,0.25,4.390952718517621,1.746872447234362,0.5304459902646074,0.0,0.39783449269845556,268,0,18
WL-STRESS-REP13,13,Entrance 1,1,1,inf,0.5,2.1571296528684347,0.31189171159617457,0.289172893415505,0.0,0.1445864467077525,107,0,16
WL-STRESS-REP13,13,Entrance 2,1,1,inf,0.5,2.0709650519567155,0.3125953892444392,0.30188378982937336,0.0,0.15094189491468668,109,0,14
WL-STRESS-REP13,13,Grill,1,3,10,0.3333333333333333,2.9031940904090514,1.1393554050098023,0.3924489267781854,0.0,0.3924489267781854,249,0,2
WL-STRESS-REP13,13,Beverage,1,3,10,0.3,3.3534924879714785,1.2894333430885563,0.42722735168835296,0.0,0.3845046165195176,250,0,8
WL-STRESS-REP13,13,Dessert,1,3,10,0.25,4.568872561670966,1.7567525922518408,0.5126728220260235,0.0,0.3845046165195176,260,0,18
WL-STRESS-REP14,14,Entrance 1,1,1,inf,0.5,2.2583453950211956,0.3969564644848503,0.35154628283166106,0.0,0.17577314141583053,131,0,23
WL-STRESS-REP14,14,Entrance 2,1,1,inf,0.5,2.4348403704955413,0.37250071140926,0.3059754683905198,0.0,0.1529877341952599,110,0,16
WL-STRESS-REP14,14,Grill,1,3,10,0.3333333333333333,3.360296597298234,1.6242871947391007,0.4833761388935339,0.0,0.4833761388935339,313,0,16
WL-STRESS-REP14,14,Beverage,1,3,10,0.3,3.2878290453784813,1.3538124634752766,0.4575165100638387,0.0,0.4117648590574548,267,0,14
WL-STRESS-REP14,14,Dessert,1,3,10,0.25,4.527154710658638,1.9230678291558647,0.5663801223398983,0.0,0.42478509175492374,282,0,21
WL-STRESS-REP15,15,Entrance 1,1,1,inf,0.5,1.8942332789081902,0.3099646709417912,0.3272719093188465,0.0,0.16363595465942324,120,0,16
WL-STRESS-REP15,15,Entrance 2,1,1,inf,0.5,2.6034822827759814,0.3399993714309442,0.26118815839869475,0.0,0.13059407919934737,94,0,11
WL-STRESS-REP15,15,Grill,1,3,10,0.3333333333333333,3.2857840060038113,1.1632335633759325,0.35402009421509834,0.0,0.35402009421509834,232,0,7
WL-STRESS-REP15,15,Beverage,1,3,10,0.3,3.2122663124273334,1.2231291158303186,0.423075865679278,0.0,0.3807682791113502,247,0,5
WL-STRESS-REP15,15,Dessert,1,3,10,0.25,4.429267996952871,1.5541116524866403,0.46783099857758176,0.0,0.35087324893318633,236,0,13
WL-STRESS-REP16,16,Entrance 1,1,1,inf,0.5,2.4038474658233233,0.3336781068545874,0.2776200333828601,0.0,0.13881001669143006,105,0,12
WL-STRESS-REP16,16,Entrance 2,1,1,inf,0.5,2.1998055885461194,0.2922214999063971,0.2656793867857479,0.0,0.13283969339287394,101,0,12
WL-STRESS-REP16,16,Grill,1,3,10,0.3333333333333333,2.8193966186873363,1.1025424604874696,0.39105617605542664,0.0,0.39105617605542664,264,0,2
WL-STRESS-REP16,16,Beverage,1,3,10,0.3,3.4018108512253025,1.2135171572955017,0.3963631300985877,0.0,0.3567268170887289,248,0,9
WL-STRESS-REP16,16,Dessert,1,3,10,0.25,4.058438563013073,1.5083293467050973,0.49553683378015895,0.0,0.3716526253351192,269,0,20
WL-STRESS-REP17,17,Entrance 1,1,1,inf,0.5,1.5702898613769183,0.23341203920928505,0.2972852910157826,0.0,0.1486426455078913,98,0,7
WL-STRESS-REP17,17,Entrance 2,1,1,inf,0.5,2.2012287144574083,0.41708559670600576,0.37895707426187675,0.0,0.18947853713093837,132,0,16
WL-STRESS-REP17,17,Grill,1,3,10,0.3333333333333333,3.1956546439918134,1.445911266310643,0.45246167918336144,0.0,0.45246167918336144,284,0,7
WL-STRESS-REP17,17,Beverage,1,3,10,0.3,3.49009647058784,1.6589467822811637,0.528144198324742,0.0,0.4753297784922678,311,0,20
