Workload,Replication,AllowReneging,LambdaInput,SimDuration,Warmup,E_r_sim,E_r_ci95,lambda_effective,E_N_sim,P_reject_N_max,total_in,total_out,total_rejected,total_reneged
WL-BASE-REN-REP01,1,1,0.16666666666666666,600.0,51,18.461361476720224,2.9088462560305404,0.18304258077042526,3.379215249234579,0.0,113,113,0,17
WL-BASE-REN-REP02,2,1,0.16666666666666666,600.0,51,16.14531533225507,2.885362878353003,0.13244000123333727,2.1382855825164806,0.0,83,83,0,6
WL-BASE-REN-REP03,3,1,0.16666666666666666,600.0,51,16.327660739100804,3.229853558061434,0.14055819888754617,2.2949865855349096,0.0,89,89,0,5
WL-BASE-REN-REP04,4,1,0.16666666666666666,600.0,51,17.563613922064437,3.9722473991052345,0.1349929771333265,2.3709645325598196,0.0,95,95,0,13
WL-BASE-REN-REP05,5,1,0.16666666666666666,600.0,51,19.497552693455084,3.554607123270485,0.17963233703084788,3.5023909567074396,0.0,112,112,0,15
WL-BASE-REN-REP06,6,1,0.16666666666666666,600.0,51,18.395010850071674,3.7491270848324607,0.15246162304836489,2.8045332101942098,0.0,92,92,0,13
WL-BASE-REN-REP07,7,1,0.16666666666666666,600.0,51,17.468284370214207,3.667800176557186,0.16092352414668065,2.81105788165125,0.0,98,98,0,9
WL-BASE-REN-REP08,8,1,0.16666666666666666,600.0,51,16.152055812765635,2.7009667854598307,0.18206321487482946,2.940695208109788,0.0,111,111,0,11
WL-BASE-REN-REP09,9,1,0.16666666666666666,600.0,51,15.511592155701942,2.7399293099952575,0.17814271523614192,2.763277144252384,0.0,109,109,0,15
WL-BASE-REN-REP10,10,1,0.16666666666666666,600.0,51,16.659952006563135,3.357180269229494,0.16902450878843814,2.815940204348288,0.0,106,106,0,16
WL-BASE-REN-REP11,11,1,0.16666666666666666,600.0,51,17.164050361792853,3.104093998454568,0.17091893910989103,2.9336612786663756,0.0,111,111,0,9
WL-BASE-REN-REP12,12,1,0.16666666666666666,600.0,51,19.439015666247542,4.84789286279148,0.13778588045838,2.6784218888181597,0.0,87,87,0,11
WL-BASE-REN-REP13,13,1,0.16666666666666666,600.0,51,18.404712438795954,4.00848544621341,0.15724263876727224,2.894005549629114,0.0,96,96,0,8
WL-BASE-REN-REP14,14,1,0.16666666666666666,600.0,51,17.950680689040155,3.944999418906393,0.178531365413485,3.2047595335158165,0.0,108,108,0,20
WL-BASE-REN-REP15,15,1,0.16666666666666666,600.0,51,14.773801374010157,2.972617252675574,0.16563991604157552,2.4471312192059553,0.0,102,102,0,10
WL-BASE-REN-REP16,16,1,0.16666666666666666,600.0,51,20.277220307887056,4.587928358887978,0.1291667099089622,2.6191418332689644,0.0,93,93,0,10
WL-BASE-REN-REP17,17,1,0.16666666666666666,600.0,51,16.455334161097344,2.964118204555416,0.15301772658274684,2.5179578234905273,0.0,97,97,0,2
WL-BASE-REN-REP18,18,1,0.16666666666666666,600.0,51,16.68403504352941,3.846502739066838,0.15498818552224727,2.585828318586211,0.0,99,99,0,4
WL-BASE-REN-REP19,19,1,0.16666666666666666,600.0,51,18.33339278089098,4.265046253764441,0.1403725901442645,2.573505830785827,0.0,85,85,0,5
WL-BASE-REN-REP20,20,1,0.16666666666666666,600.0,51,17.496936902040005,3.6342051264310555,0.1727491421555664,3.022580840177484,0.0,105,105,0,9
WL-BASE-REN-REP21,21,1,0.16666666666666666,600.0,51,19.06435162755249,4.077619618607105,0.15445110666679904,2.9445102067604734,0.0,97,97,0,10
WL-BASE-REN-REP22,22,1,0.16666666666666666,600.0,51,18.868168876476624,3.8247368622265965,0.16469532680683294,3.1074992393578316,0.0,101,101,0,14
WL-BASE-REN-REP23,23,1,0.16666666666666666,600.0,51,15.075551547744093,2.7087087007840998,0.17454427772174824,2.6313512561579766,0.0,106,106,0,7
WL-BASE-REN-REP24,24,1,0.16666666666666666,600.0,51,18.341518876577343,3.4510521243131933,0.14345670537894933,2.6312138696795935,0.0,90,90,0,16
WL-BASE-REN-REP25,25,1,0.16666666666666666,600.0,51,19.2955209783242,3.8991977068924193,0.16589159280491414,3.2009647090948365,0.0,105,105,0,16
WL-BASE-REN-REP26,26,1,0.16666666666666666,600.0,51,19.800205311076198,4.0001001171511,0.13086974919514585,2.591247903072937,0.0,83,83,0,5
WL-BASE-REN-REP27,27,1,0.16666666666666666,600.0,51,14.51987349349019,2.5033920842091786,0.1656387110289178,2.405053129764665,0.0,104,104,0,7
WL-BASE-REN-REP28,28,1,0.16666666666666666,600.0,51,18.730058578159813,3.6251815367071885,0.16585988974333055,3.106565450659709,0.0,102,102,0,12
WL-BASE-REN-REP29,29,1,0.16666666666666666,600.0,51,16.43390832523257,3.48178118095579,0.15643820841710557,2.5708911756903388,0.0,96,96,0,12
WL-BASE-REN-REP30,30,1,0.16666666666666666,600.0,51,17.57373916563384,3.0702616181500364,0.16457894932959252,2.892267527672327,0.0,104,104,0,10
