Workload,Replication,AllowReneging,LambdaInput,SimDuration,Warmup,E_r_sim,E_r_ci95,lambda_effective,E_N_sim,P_reject_N_max,total_in,total_out,total_rejected,total_reneged
WL-STRESS-NO-REN-X100-REP01,1,0,16.666666666666664,600.0,51,98.6089830546419,2.748851740989254,0.8545220059763361,84.26354600713913,0.9320562705776714,681,681,9342,0
WL-STRESS-NO-REN-X100-REP02,2,0,16.666666666666664,600.0,51,96.92037554752662,2.520149424678154,0.8819763509865512,85.4814791616537,0.9314785686197404,697,697,9475,0
WL-STRESS-NO-REN-X100-REP03,3,0,16.666666666666664,600.0,51,99.64223986819219,4.90244890970338,0.8496153159285064,84.65757310543812,0.929957974784871,700,700,9294,0
WL-STRESS-NO-REN-X100-REP04,4,0,16.666666666666664,600.0,51,97.16377306033698,3.345002706947994,0.9001776702567191,87.46465886680672,0.9294279536072342,718,718,9456,0
WL-STRESS-NO-REN-X100-REP05,5,0,16.666666666666664,600.0,51,103.6333858333216,5.012894916927069,0.7538816426198877,78.12730714228508,0.9334727616771238,668,668,9373,0
WL-STRESS-NO-REN-X100-REP06,6,0,16.666666666666664,600.0,51,97.44332608981013,2.6550170655037535,0.9036214182824047,88.05187652342907,0.9315231394311763,691,691,9400,0
WL-STRESS-NO-REN-X100-REP07,7,0,16.666666666666664,600.0,51,104.61558182736826,2.7051924708215713,0.8535340790870349,89.29296429317712,0.9348345954563572,654,654,9382,0
WL-STRESS-NO-REN-X100-REP08,8,0,16.666666666666664,600.0,51,99.87777327000308,3.043416860205731,0.8977222200928128,89.66249635787375,0.9306613226452906,692,692,9288,0
WL-STRESS-NO-REN-X100-REP09,9,0,16.666666666666664,600.0,51,101.62762682475622,2.6619153538135887,0.8554347431802048,86.93580285284904,0.9313261504380224,682,682,9249,0
WL-STRESS-NO-REN-X100-REP10,10,0,16.666666666666664,600.0,51,97.17879017401057,2.9624707047288497,0.912125693060743,88.63927133827391,0.9328845574198734,668,668,9285,0
WL-STRESS-NO-REN-X100-REP11,11,0,16.666666666666664,600.0,51,98.55152755948765,3.2536405997676128,0.8863032523145356,87.34653939653948,0.9309996973670938,684,684,9229,0
WL-STRESS-NO-REN-X100-REP12,12,0,16.666666666666664,600.0,51,108.92510991133673,4.935642632170759,0.826634226109739,90.04122393547611,0.9358681624143751,646,646,9427,0
WL-STRESS-NO-REN-X100-REP13,13,0,16.666666666666664,600.0,51,98.9681486762335,2.7995034543392556,0.8893245452968832,88.01480382036569,0.930935960591133,701,701,9449,0
WL-STRESS-NO-REN-X100-REP14,14,0,16.666666666666664,600.0,51,98.27709244768758,3.4263346214097403,0.8857307545515222,87.04704324882002,0.9323098394975575,679,679,9352,0
WL-STRESS-NO-REN-X100-REP15,15,0,16.666666666666664,600.0,51,101.32177349574796,2.944457173989486,0.8885037132244984,90.02477198146363,0.9333731700029877,669,669,9372,0
WL-STRESS-NO-REN-X100-REP16,16,0,16.666666666666664,600.0,51,103.21184484501721,3.0077608524620754,0.8640643919514787,89.18167995820015,0.9331985851440121,661,661,9234,0
WL-STRESS-NO-REN-X100-REP17,17,0,16.666666666666664,600.0,51,98.7256447511771,5.186529372508976,0.9176787712951378,90.59842837058046,0.929117233058516,705,705,9241,0
WL-STRESS-NO-REN-X100-REP18,18,0,16.666666666666664,600.0,51,100.25960906925283,4.89479669889288,0.881409303174033,88.3697521662311,0.9294034946776462,703,703,9255,0
WL-STRESS-NO-REN-X100-REP19,19,0,16.666666666666664,600.0,51,101.3004261197374,3.8102882214288547,0.8596469198333169,87.08259929163474,0.9327511793636455,670,670,9293,0
WL-STRESS-NO-REN-X100-REP20,20,0,16.666666666666664,600.0,51,96.9791167253182,3.015549438577661,0.8894459241803311,86.25768010194285,0.9312625250501002,686,686,9294,0
WL-STRESS-NO-REN-X100-REP21,21,0,16.666666666666664,600.0,51,98.88145154602032,2.858433721159974,0.8993678323965795,88.93079674117169,0.9306208137558732,694,694,9309,0
WL-STRESS-NO-REN-X100-REP22,22,0,16.666666666666664,600.0,51,104.15970879807662,2.7221048777320953,0.8518396860209768,88.72737363858997,0.9345118521494576,652,652,9304,0
WL-STRESS-NO-REN-X100-REP23,23,0,16.666666666666664,600.0,51,103.2647741245779,3.865254483824374,0.8614148815774956,88.9538131736501,0.9342942345924453,661,661,9399,0
WL-STRESS-NO-REN-X100-REP24,24,0,16.666666666666664,600.0,51,97.11988903798013,3.1373640146643234,0.9245798389537979,89.79509136594639,0.9304973037747154,696,696,9318,0
WL-STRESS-NO-REN-X100-REP25,25,0,16.666666666666664,600.0,51,94.8759018534971,3.742275400866743,0.9217450557106405,87.45139343954894,0.9301998593954002,695,695,9262,0
WL-STRESS-NO-REN-X100-REP26,26,0,16.666666666666664,600.0,51,110.0250920203612,4.379145195167236,0.7962742012192828,87.6101422625912,0.9356887653830885,648,648,9428,0
WL-STRESS-NO-REN-X100-REP27,27,0,16.666666666666664,600.0,51,93.81870335661671,2.670764544459829,0.9423153604753086,88.40680527281631,0.9295577346407845,704,704,9290,0
WL-STRESS-NO-REN-X100-REP28,28,0,16.666666666666664,600.0,51,99.1431713569569,2.8908401569978732,0.8489344099598166,84.16604967746319,0.9313141683778234,669,669,9071,0
WL-STRESS-NO-REN-X100-REP29,29,0,16.666666666666664,600.0,51,94.99065602447271,2.8154090025253296,0.9254708886456321,87.91108684400032,0.9280161534578496,713,713,9192,0
WL-STRESS-NO-REN-X100-REP30,30,0,16.666666666666664,600.0,51,102.39753439462902,2.5995572445281923,0.8467406930103493,86.70415923585925,0.9344393363981611,656,656,9350,0
