Workload,Replication,AllowReneging,LambdaInput,SimDuration,Warmup,E_r_sim,E_r_ci95,lambda_effective,E_N_sim,P_reject_N_max,total_in,total_out,total_rejected,total_reneged
WL-STRESS-REP01,1,1,0.3666666666666667,600.0,51,14.432120229680441,2.0082461108421454,0.33038081939150893,4.768095707038596,0.0,229,229,0,72
WL-STRESS-REP02,2,1,0.3666666666666667,600.0,51,14.183485715586608,1.8758051152538457,0.31181206262308314,4.422581936162096,0.0,197,197,0,56
WL-STRESS-REP03,3,1,0.3666666666666667,600.0,51,14.321894836741158,2.053352646478798,0.32830728509396023,4.701982411251697,0.0,205,205,0,62
WL-STRESS-REP04,4,1,0.3666666666666667,600.0,51,15.017218293041457,2.4327606492798544,0.3412602464160933,5.124779615167592,0.0,206,206,0,59
WL-STRESS-REP05,5,1,0.3666666666666667,600.0,51,14.484616934305901,2.154915844219504,0.3604106705755591,5.220410502323289,0.0,238,238,0,86
WL-STRESS-REP06,6,1,0.3666666666666667,600.0,51,15.211022626070806,2.2059910569987022,0.3387397344888283,5.152577765658785,0.0,215,215,0,72
WL-STRESS-REP07,7,1,0.3666666666666667,600.0,51,14.454942441736009,2.1641466481530727,0.34435358729716864,4.977611283985889,0.0,221,221,0,76
WL-STRESS-REP08,8,1,0.3666666666666667,600.0,51,12.862660788713951,1.6729330495019188,0.3809157685122857,4.899590319445817,0.0,234,234,0,68
WL-STRESS-REP09,9,1,0.3666666666666667,600.0,51,14.388876400626406,2.00381780955197,0.3347264790738612,4.81633793541065,0.0,218,218,0,67
WL-STRESS-REP10,10,1,0.3666666666666667,600.0,51,13.713060043933835,2.0544563798628386,0.34090638637680226,4.674869745745597,0.0,212,212,0,57
WL-STRESS-REP11,11,1,0.3666666666666667,600.0,51,14.525940582646054,1.985556293348259,0.3651304845744589,5.303863723841352,0.0,231,231,0,61
WL-STRESS-REP12,12,1,0.3666666666666667,600.0,51,15.056763326640938,2.1897555920150773,0.3437290016914656,5.17544622697096,0.0,216,216,0,67
WL-STRESS-REP13,13,1,0.3666666666666667,600.0,51,14.238183287526299,2.1523646137987456,0.3431942031744455,4.886461968014295,0.0,216,216,0,58
WL-STRESS-REP14,14,1,0.3666666666666667,600.0,51,14.981037699124398,2.1155414560769072,0.3922345100112514,5.876079981376144,0.0,241,241,0,90
WL-STRESS-REP15,15,1,0.3666666666666667,600.0,51,13.579401981984264,2.0507035254348764,0.33671244516458243,4.572353645226698,0.0,214,214,0,52
WL-STRESS-REP16,16,1,0.3666666666666667,600.0,51,14.835821074007304,2.086788388531362,0.3074716498756408,4.561594382884827,0.0,206,206,0,55
WL-STRESS-REP17,17,1,0.3666666666666667,600.0,51,14.326158285841846,1.972119045804331,0.375690202932033,5.382197313644348,0.0,230,230,0,66
WL-STRESS-REP18,18,1,0.3666666666666667,600.0,51,14.40891044255991,2.2866433088191376,0.3598926399124157,5.18566081743446,0.0,226,226,0,62
WL-STRESS-REP19,19,1,0.3666666666666667,600.0,51,14.41490797975426,1.962836339161204,0.3309648148782281,4.770827351006061,0.0,216,216,0,73
WL-STRESS-REP20,20,1,0.3666666666666667,600.0,51,15.615013538947574,2.4291578932887035,0.3116323366143661,4.866143155407195,0.0,211,211,0,65
WL-STRESS-REP21,21,1,0.3666666666666667,600.0,51,15.076445899755543,1.8503493108928024,0.35124019049344757,5.295453729794294,0.0,217,217,0,62
WL-STRESS-REP22,22,1,0.3666666666666667,600.0,51,14.701894467283843,2.0993677904957315,0.33642877014326733,4.94614027440441,0.0,213,213,0,63
WL-STRESS-REP23,23,1,0.3666666666666667,600.0,51,15.70036431314813,2.658163840665513,0.30376160329401763,4.769167836062054,0.0,215,215,0,66
WL-STRESS-REP24,24,1,0.3666666666666667,600.0,51,16.21453758419582,2.4207913766942726,0.31892435292395654,5.171210907000826,0.0,202,202,0,63
WL-STRESS-REP25,25,1,0.3666666666666667,600.0,51,14.775283197380565,2.185615416311644,0.3516883148013172,5.196294448398988,0.0,223,223,0,78
WL-STRESS-REP26,26,1,0.3666666666666667,600.0,51,15.496510850020133,2.235920062159835,0.3318157374642021,5.14198617582144,0.0,208,208,0,68
WL-STRESS-REP27,27,1,0.3666666666666667,600.0,51,14.121886521134563,2.0007158763452852,0.3313139719929962,4.6787783153514475,0.0,210,210,0,62
WL-STRESS-REP28,28,1,0.3666666666666667,600.0,51,15.019415700231775,2.664126631716945,0.32579649044904535,4.8932729237308035,0.0,220,220,0,74
WL-STRESS-REP29,29,1,0.3666666666666667,600.0,51,14.056477223455374,2.212249502976592,0.3111885413748003,4.374214644035181,0.0,202,202,0,54
WL-STRESS-REP30,30,1,0.3666666666666667,600.0,51,14.971836059032437,2.12798361811359,0.33516998524902575,5.018110071056734,0.0,217,217,0,65
