Workload,Replication,From,To,Transitions,Probability,TotalFrom
WL-BASE-REN-REP01,1,Grill,Grill,39,0.2074468085106383,188
WL-BASE-REN-REP01,1,Grill,Beverage,58,0.30851063829787234,188
WL-BASE-REN-REP01,1,Grill,Dessert,52,0.2765957446808511,188
WL-BASE-REN-REP01,1,Grill,SINK,39,0.2074468085106383,188
WL-BASE-REN-REP01,1,Beverage,Grill,56,0.3163841807909605,177
WL-BASE-REN-REP01,1,Beverage,Beverage,41,0.23163841807909605,177
WL-BASE-REN-REP01,1,Beverage,Dessert,48,0.2711864406779661,177
WL-BASE-REN-REP01,1,Beverage,SINK,32,0.1807909604519774,177
WL-BASE-REN-REP01,1,Dessert,Grill,58,0.3333333333333333,174
WL-BASE-REN-REP01,1,Dessert,Beverage,51,0.29310344827586204,174
WL-BASE-REN-REP01,1,Dessert,Dessert,40,0.22988505747126436,174
WL-BASE-REN-REP01,1,Dessert,SINK,25,0.14367816091954022,174
WL-BASE-REN-REP02,2,Grill,Grill,16,0.1553398058252427,103
WL-BASE-REN-REP02,2,Grill,Beverage,26,0.2524271844660194,103
WL-BASE-REN-REP02,2,Grill,Dessert,33,0.32038834951456313,103
WL-BASE-REN-REP02,2,Grill,SINK,28,0.27184466019417475,103
WL-BASE-REN-REP02,2,Beverage,Grill,35,0.2713178294573643,129
WL-BASE-REN-REP02,2,Beverage,Beverage,33,0.2558139534883721,129
WL-BASE-REN-REP02,2,Beverage,Dessert,35,0.2713178294573643,129
WL-BASE-REN-REP02,2,Beverage,SINK,26,0.20155038759689922,129
WL-BASE-REN-REP02,2,Dessert,Grill,30,0.2857142857142857,105
WL-BASE-REN-REP02,2,Dessert,Beverage,37,0.3523809523809524,105
WL-BASE-REN-REP02,2,Dessert,Dessert,15,0.14285714285714285,105
WL-BASE-REN-REP02,2,Dessert,SINK,23,0.21904761904761905,105
WL-BASE-REN-REP03,3,Grill,Grill,18,0.15789473684210525,114
WL-BASE-REN-REP03,3,Grill,Beverage,34,0.2982456140350877,114
WL-BASE-REN-REP03,3,Grill,Dessert,32,0.2807017543859649,114
WL-BASE-REN-REP03,3,Grill,SINK,30,0.2631578947368421,114
WL-BASE-REN-REP03,3,Beverage,Grill,35,0.30701754385964913,114
WL-BASE-REN-REP03,3,Beverage,Beverage,23,0.20175438596491227,114
WL-BASE-REN-REP03,3,Beverage,Dessert,31,0.2719298245614035,114
WL-BASE-REN-REP03,3,Beverage,SINK,25,0.21929824561403508,114
WL-BASE-REN-REP03,3,Dessert,Grill,27,0.2076923076923077,130
WL-BASE-REN-REP03,3,Dessert,Beverage,35,0.2692307692307692,130
WL-BASE-REN-REP03,3,Dessert,Dessert,39,0.3,130
WL-BASE-REN-REP03,3,Dessert,SINK,29,0.2230769230769231,130
WL-BASE-REN-REP04,4,Grill,Grill,28,0.19858156028368795,141
WL-BASE-REN-REP04,4,Grill,Beverage,45,0.3191489361702128,141
WL-BASE-REN-REP04,4,Grill,Dessert,38,0.2695035460992908,141
WL-BASE-REN-REP04,4,Grill,SINK,30,0.2127659574468085,141
WL-BASE-REN-REP04,4,Beverage,Grill,48,0.32653061224489793,147
WL-BASE-REN-REP04,4,Beverage,Beverage,27,0.1836734693877551,147
WL-BASE-REN-REP04,4,Beverage,Dessert,55,0.3741496598639456,147
WL-BASE-REN-REP04,4,Beverage,SINK,17,0.11564625850340136,147
WL-BASE-REN-REP04,4,Dessert,Grill,30,0.2222222222222222,135
WL-BASE-REN-REP04,4,Dessert,Beverage,48,0.35555555555555557,135
WL-BASE-REN-REP04,4,Dessert,Dessert,22,0.16296296296296298,135
WL-BASE-REN-REP04,4,Dessert,SINK,35,0.25925925925925924,135
WL-BASE-REN-REP05,5,Grill,Grill,46,0.2541436464088398,181
WL-BASE-REN-REP05,5,Grill,Beverage,46,0.2541436464088398,181
WL-BASE-REN-REP05,5,Grill,Dessert,51,0.281767955801105,181
WL-BASE-REN-REP05,5,Grill,SINK,38,0.20994475138121546,181
WL-BASE-REN-REP05,5,Beverage,Grill,58,0.327683615819209,177
WL-BASE-REN-REP05,5,Beverage,Beverage,36,0.2033898305084746,177
WL-BASE-REN-REP05,5,Beverage,Dessert,51,0.288135593220339,177
WL-BASE-REN-REP05,5,Beverage,SINK,32,0.1807909604519774,177
WL-BASE-REN-REP05,5,Dessert,Grill,45,0.2710843373493976,166
WL-BASE-REN-REP05,5,Dessert,Beverage,59,0.35542168674698793,166
WL-BASE-REN-REP05,5,Dessert,Dessert,35,0.21084337349397592,166
WL-BASE-REN-REP05,5,Dessert,SINK,27,0.16265060240963855,166
WL-BASE-REN-REP06,6,Grill,Grill,19,0.17117117117117117,111
WL-BASE-REN-REP06,6,Grill,Beverage,31,0.27927927927927926,111
WL-BASE-REN-REP06,6,Grill,Dessert,29,0.26126126126126126,111
WL-BASE-REN-REP06,6,Grill,SINK,32,0.2882882882882883,111
WL-BASE-REN-REP06,6,Beverage,Grill,43,0.344,125
WL-BASE-REN-REP06,6,Beverage,Beverage,30,0.24,125
WL-BASE-REN-REP06,6,Beverage,Dessert,31,0.248,125
WL-BASE-REN-REP06,6,Beverage,SINK,21,0.168,125
WL-BASE-REN-REP06,6,Dessert,Grill,28,0.24561403508771928,114
WL-BASE-REN-REP06,6,Dessert,Beverage,37,0.32456140350877194,114
WL-BASE-REN-REP06,6,Dessert,Dessert,23,0.20175438596491227,114
WL-BASE-REN-REP06,6,Dessert,SINK,26,0.22807017543859648,114
WL-BASE-REN-REP07,7,Grill,Grill,35,0.25,140
WL-BASE-REN-REP07,7,Grill,Beverage,35,0.25,140
WL-BASE-REN-REP07,7,Grill,Dessert,43,0.30714285714285716,140
WL-BASE-REN-REP07,7,Grill,SINK,27,0.19285714285714287,140
WL-BASE-REN-REP07,7,Beverage,Grill,48,0.3037974683544304,158
WL-BASE-REN-REP07,7,Beverage,Beverage,35,0.22151898734177214,158
WL-BASE-REN-REP07,7,Beverage,Dessert,42,0.26582278481012656,158
WL-BASE-REN-REP07,7,Beverage,SINK,33,0.2088607594936709,158
WL-BASE-REN-REP07,7,Dessert,Grill,39,0.2549019607843137,153
WL-BASE-REN-REP07,7,Dessert,Beverage,48,0.3137254901960784,153
WL-BASE-REN-REP07,7,Dessert,Dessert,37,0.24183006535947713,153
WL-BASE-REN-REP07,7,Dessert,SINK,29,0.1895424836601307,153
WL-BASE-REN-REP08,8,Grill,Grill,32,0.2064516129032258,155
WL-BASE-REN-REP08,8,Grill,Beverage,47,0.3032258064516129,155
WL-BASE-REN-REP08,8,Grill,Dessert,43,0.27741935483870966,155
WL-BASE-REN-REP08,8,Grill,SINK,33,0.2129032258064516,155
WL-BASE-REN-REP08,8,Beverage,Grill,49,0.310126582278481,158
WL-BASE-REN-REP08,8,Beverage,Beverage,31,0.1962025316455696,158
WL-BASE-REN-REP08,8,Beverage,Dessert,47,0.2974683544303797,158
WL-BASE-REN-REP08,8,Beverage,SINK,31,0.1962025316455696,158
WL-BASE-REN-REP08,8,Dessert,Grill,50,0.29239766081871343,171
WL-BASE-REN-REP08,8,Dessert,Beverage,45,0.2631578947368421,171
WL-BASE-REN-REP08,8,Dessert,Dessert,40,0.23391812865497075,171
WL-BASE-REN-REP08,8,Dessert,SINK,36,0.21052631578947367,171
WL-BASE-REN-REP09,9,Grill,Grill,29,0.19205298013245034,151
WL-BASE-REN-REP09,9,Grill,Beverage,48,0.31788079470198677,151
WL-BASE-REN-REP09,9,Grill,Dessert,43,0.2847682119205298,151
WL-BASE-REN-REP09,9,Grill,SINK,31,0.2052980132450331,151
WL-BASE-REN-REP09,9,Beverage,Grill,44,0.2894736842105263,152
WL-BASE-REN-REP09,9,Beverage,Beverage,35,0.23026315789473684,152
WL-BASE-REN-REP09,9,Beverage,Dessert,34,0.2236842105263158,152
WL-BASE-REN-REP09,9,Beverage,SINK,39,0.2565789473684211,152
WL-BASE-REN-REP09,9,Dessert,Grill,44,0.34375,128
WL-BASE-REN-REP09,9,Dessert,Beverage,38,0.296875,128
WL-BASE-REN-REP09,9,Dessert,Dessert,22,0.171875,128
WL-BASE-REN-REP09,9,Dessert,SINK,24,0.1875,128
WL-BASE-REN-REP10,10,Grill,Grill,29,0.20567375886524822,141
WL-BASE-REN-REP10,10,Grill,Beverage,37,0.2624113475177305,141
WL-BASE-REN-REP10,10,Grill,Dessert,42,0.2978723404255319,141
WL-BASE-REN-REP10,10,Grill,SINK,33,0.23404255319148937,141
WL-BASE-REN-REP10,10,Beverage,Grill,43,0.296551724137931,145
WL-BASE-REN-REP10,10,Beverage,Beverage,33,0.22758620689655173,145
WL-BASE-REN-REP10,10,Beverage,Dessert,41,0.2827586206896552,145
WL-BASE-REN-REP10,10,Beverage,SINK,28,0.19310344827586207,145
WL-BASE-REN-REP10,10,Dessert,Grill,41,0.2611464968152866,157
WL-BASE-REN-REP10,10,Dessert,Beverage,44,0.2802547770700637,157
WL-BASE-REN-REP10,10,Dessert,Dessert,43,0.27388535031847133,157
WL-BASE-REN-REP10,10,Dessert,SINK,29,0.18471337579617833,157
WL-BASE-REN-REP11,11,Grill,Grill,19,0.12751677852348994,149
WL-BASE-REN-REP11,11,Grill,Beverage,53,0.35570469798657717,149
WL-BASE-REN-REP11,11,Grill,Dessert,46,0.3087248322147651,149
WL-BASE-REN-REP11,11,Grill,SINK,31,0.2080536912751678,149
WL-BASE-REN-REP11,11,Beverage,Grill,46,0.2839506172839506,162
WL-BASE-REN-REP11,11,Beverage,Beverage,34,0.20987654320987653,162
WL-BASE-REN-REP11,11,Beverage,Dessert,45,0.2777777777777778,162
WL-BASE-REN-REP11,11,Beverage,SINK,37,0.22839506172839505,162
WL-BASE-REN-REP11,11,Dessert,Grill,50,0.3448275862068966,145
WL-BASE-REN-REP11,11,Dessert,Beverage,41,0.2827586206896552,145
WL-BASE-REN-REP11,11,Dessert,Dessert,20,0.13793103448275862,145
WL-BASE-REN-REP11,11,Dessert,SINK,34,0.23448275862068965,145
WL-BASE-REN-REP12,12,Grill,Grill,25,0.18248175182481752,137
WL-BASE-REN-REP12,12,Grill,Beverage,40,0.291970802919708,137
WL-BASE-REN-REP12,12,Grill,Dessert,46,0.3357664233576642,137
WL-BASE-REN-REP12,12,Grill,SINK,26,0.1897810218978102,137
WL-BASE-REN-REP12,12,Beverage,Grill,46,0.323943661971831,142
WL-BASE-REN-REP12,12,Beverage,Beverage,28,0.19718309859154928,142
WL-BASE-REN-REP12,12,Beverage,Dessert,40,0.28169014084507044,142
WL-BASE-REN-REP12,12,Beverage,SINK,28,0.19718309859154928,142
WL-BASE-REN-REP12,12,Dessert,Grill,43,0.3049645390070922,141
WL-BASE-REN-REP12,12,Dessert,Beverage,54,0.3829787234042553,141
WL-BASE-REN-REP12,12,Dessert,Dessert,22,0.15602836879432624,141
WL-BASE-REN-REP12,12,Dessert,SINK,22,0.15602836879432624,141
WL-BASE-REN-REP13,13,Grill,Grill,28,0.19310344827586207,145
WL-BASE-REN-REP13,13,Grill,Beverage,47,0.32413793103448274,145
WL-BASE-REN-REP13,13,Grill,Dessert,42,0.2896551724137931,145
WL-BASE-REN-REP13,13,Grill,SINK,28,0.19310344827586207,145
WL-BASE-REN-REP13,13,Beverage,Grill,48,0.2909090909090909,165
WL-BASE-REN-REP13,13,Beverage,Beverage,35,0.21212121212121213,165
WL-BASE-REN-REP13,13,Beverage,Dessert,48,0.2909090909090909,165
WL-BASE-REN-REP13,13,Beverage,SINK,34,0.20606060606060606,165
WL-BASE-REN-REP13,13,Dessert,Grill,37,0.26618705035971224,139
WL-BASE-REN-REP13,13,Dessert,Beverage,53,0.381294964028777,139
WL-BASE-REN-REP13,13,Dessert,Dessert,23,0.16546762589928057,139
WL-BASE-REN-REP13,13,Dessert,SINK,26,0.18705035971223022,139
WL-BASE-REN-REP14,14,Grill,Grill,36,0.23684210526315788,152
WL-BASE-REN-REP14,14,Grill,Beverage,43,0.28289473684210525,152
WL-BASE-REN-REP14,14,Grill,Dessert,47,0.3092105263157895,152
WL-BASE-REN-REP14,14,Grill,SINK,26,0.17105263157894737,152
WL-BASE-REN-REP14,14,Beverage,Grill,47,0.3032258064516129,155
WL-BASE-REN-REP14,14,Beverage,Beverage,30,0.1935483870967742,155
WL-BASE-REN-REP14,14,Beverage,Dessert,48,0.3096774193548387,155
WL-BASE-REN-REP14,14,Beverage,SINK,30,0.1935483870967742,155
WL-BASE-REN-REP14,14,Dessert,Grill,38,0.2389937106918239,159
WL-BASE-REN-REP14,14,Dessert,Beverage,49,0.3081761006289308,159
WL-BASE-REN-REP14,14,Dessert,Dessert,40,0.25157232704402516,159
WL-BASE-REN-REP14,14,Dessert,SINK,32,0.20125786163522014,159
WL-BASE-REN-REP15,15,Grill,Grill,28,0.1958041958041958,143
WL-BASE-REN-REP15,15,Grill,Beverage,44,0.3076923076923077,143
WL-BASE-REN-REP15,15,Grill,Dessert,46,0.32167832167832167,143
WL-BASE-REN-REP15,15,Grill,SINK,25,0.17482517482517482,143
