Workload,Replication,From,To,Transitions,Probability,TotalFrom
WL-RAMP-REP01,1,Grill,Grill,51,0.19540229885057472,261
WL-RAMP-REP01,1,Grill,Beverage,89,0.34099616858237547,261
WL-RAMP-REP01,1,Grill,Dessert,75,0.28735632183908044,261
WL-RAMP-REP01,1,Grill,SINK,46,0.17624521072796934,261
WL-RAMP-REP01,1,Beverage,Grill,75,0.2788104089219331,269
WL-RAMP-REP01,1,Beverage,Beverage,49,0.1821561338289963,269
WL-RAMP-REP01,1,Beverage,Dessert,87,0.32342007434944237,269
WL-RAMP-REP01,1,Beverage,SINK,58,0.21561338289962825,269
WL-RAMP-REP01,1,Dessert,Grill,80,0.311284046692607,257
WL-RAMP-REP01,1,Dessert,Beverage,91,0.3540856031128405,257
WL-RAMP-REP01,1,Dessert,Dessert,46,0.17898832684824903,257
WL-RAMP-REP01,1,Dessert,SINK,40,0.1556420233463035,257
WL-RAMP-REP02,2,Grill,Grill,37,0.19473684210526315,190
WL-RAMP-REP02,2,Grill,Beverage,56,0.29473684210526313,190
WL-RAMP-REP02,2,Grill,Dessert,62,0.3263157894736842,190
WL-RAMP-REP02,2,Grill,SINK,35,0.18421052631578946,190
WL-RAMP-REP02,2,Beverage,Grill,57,0.2864321608040201,199
WL-RAMP-REP02,2,Beverage,Beverage,34,0.1708542713567839,199
WL-RAMP-REP02,2,Beverage,Dessert,51,0.2562814070351759,199
WL-RAMP-REP02,2,Beverage,SINK,57,0.2864321608040201,199
WL-RAMP-REP02,2,Dessert,Grill,53,0.2864864864864865,185
WL-RAMP-REP02,2,Dessert,Beverage,67,0.3621621621621622,185
WL-RAMP-REP02,2,Dessert,Dessert,35,0.1891891891891892,185
WL-RAMP-REP02,2,Dessert,SINK,30,0.16216216216216217,185
WL-RAMP-REP03,3,Grill,Grill,41,0.20098039215686275,204
WL-RAMP-REP03,3,Grill,Beverage,57,0.27941176470588236,204
WL-RAMP-REP03,3,Grill,Dessert,55,0.2696078431372549,204
WL-RAMP-REP03,3,Grill,SINK,51,0.25,204
WL-RAMP-REP03,3,Beverage,Grill,61,0.2932692307692308,208
WL-RAMP-REP03,3,Beverage,Beverage,49,0.23557692307692307,208
WL-RAMP-REP03,3,Beverage,Dessert,59,0.28365384615384615,208
WL-RAMP-REP03,3,Beverage,SINK,39,0.1875,208
WL-RAMP-REP03,3,Dessert,Grill,61,0.305,200
WL-RAMP-REP03,3,Dessert,Beverage,59,0.295,200
WL-RAMP-REP03,3,Dessert,Dessert,43,0.215,200
WL-RAMP-REP03,3,Dessert,SINK,37,0.185,200
WL-RAMP-REP04,4,Grill,Grill,44,0.1896551724137931,232
WL-RAMP-REP04,4,Grill,Beverage,70,0.3017241379310345,232
WL-RAMP-REP04,4,Grill,Dessert,73,0.3146551724137931,232
WL-RAMP-REP04,4,Grill,SINK,45,0.1939655172413793,232
WL-RAMP-REP04,4,Beverage,Grill,66,0.28205128205128205,234
WL-RAMP-REP04,4,Beverage,Beverage,48,0.20512820512820512,234
WL-RAMP-REP04,4,Beverage,Dessert,75,0.32051282051282054,234
WL-RAMP-REP04,4,Beverage,SINK,45,0.19230769230769232,234
WL-RAMP-REP04,4,Dessert,Grill,77,0.3392070484581498,227
WL-RAMP-REP04,4,Dessert,Beverage,69,0.3039647577092511,227
WL-RAMP-REP04,4,Dessert,Dessert,41,0.18061674008810572,227
WL-RAMP-REP04,4,Dessert,SINK,40,0.1762114537444934,227
WL-RAMP-REP05,5,Grill,Grill,55,0.22357723577235772,246
WL-RAMP-REP05,5,Grill,Beverage,72,0.2926829268292683,246
WL-RAMP-REP05,5,Grill,Dessert,67,0.27235772357723576,246
WL-RAMP-REP05,5,Grill,SINK,52,0.21138211382113822,246
WL-RAMP-REP05,5,Beverage,Grill,72,0.2987551867219917,241
WL-RAMP-REP05,5,Beverage,Beverage,51,0.21161825726141079,241
WL-RAMP-REP05,5,Beverage,Dessert,66,0.27385892116182575,241
WL-RAMP-REP05,5,Beverage,SINK,52,0.2157676348547718,241
WL-RAMP-REP05,5,Dessert,Grill,65,0.2981651376146789,218
WL-RAMP-REP05,5,Dessert,Beverage,65,0.2981651376146789,218
WL-RAMP-REP05,5,Dessert,Dessert,45,0.20642201834862386,218
WL-RAMP-REP05,5,Dessert,SINK,43,0.19724770642201836,218
WL-RAMP-REP06,6,Grill,Grill,50,0.21645021645021645,231
WL-RAMP-REP06,6,Grill,Beverage,72,0.3116883116883117,231
WL-RAMP-REP06,6,Grill,Dessert,64,0.27705627705627706,231
WL-RAMP-REP06,6,Grill,SINK,45,0.19480519480519481,231
WL-RAMP-REP06,6,Beverage,Grill,70,0.2928870292887029,239
WL-RAMP-REP06,6,Beverage,Beverage,48,0.200836820083682,239
WL-RAMP-REP06,6,Beverage,Dessert,72,0.301255230125523,239
WL-RAMP-REP06,6,Beverage,SINK,49,0.20502092050209206,239
WL-RAMP-REP06,6,Dessert,Grill,67,0.3031674208144796,221
WL-RAMP-REP06,6,Dessert,Beverage,66,0.2986425339366516,221
WL-RAMP-REP06,6,Dessert,Dessert,45,0.20361990950226244,221
WL-RAMP-REP06,6,Dessert,SINK,43,0.19457013574660634,221
WL-RAMP-REP07,7,Grill,Grill,39,0.17488789237668162,223
WL-RAMP-REP07,7,Grill,Beverage,82,0.36771300448430494,223
WL-RAMP-REP07,7,Grill,Dessert,63,0.2825112107623318,223
WL-RAMP-REP07,7,Grill,SINK,39,0.17488789237668162,223
WL-RAMP-REP07,7,Beverage,Grill,71,0.3141592920353982,226
WL-RAMP-REP07,7,Beverage,Beverage,36,0.1592920353982301,226
WL-RAMP-REP07,7,Beverage,Dessert,77,0.3407079646017699,226
WL-RAMP-REP07,7,Beverage,SINK,42,0.18584070796460178,226
WL-RAMP-REP07,7,Dessert,Grill,64,0.28193832599118945,227
WL-RAMP-REP07,7,Dessert,Beverage,68,0.29955947136563876,227
WL-RAMP-REP07,7,Dessert,Dessert,53,0.23348017621145375,227
WL-RAMP-REP07,7,Dessert,SINK,42,0.18502202643171806,227
WL-RAMP-REP08,8,Grill,Grill,52,0.2139917695473251,243
WL-RAMP-REP08,8,Grill,Beverage,74,0.3045267489711934,243
WL-RAMP-REP08,8,Grill,Dessert,75,0.30864197530864196,243
WL-RAMP-REP08,8,Grill,SINK,42,0.1728395061728395,243
WL-RAMP-REP08,8,Beverage,Grill,64,0.2689075630252101,238
WL-RAMP-REP08,8,Beverage,Beverage,46,0.19327731092436976,238
WL-RAMP-REP08,8,Beverage,Dessert,74,0.31092436974789917,238
WL-RAMP-REP08,8,Beverage,SINK,54,0.226890756302521,238
WL-RAMP-REP08,8,Dessert,Grill,73,0.31063829787234043,235
WL-RAMP-REP08,8,Dessert,Beverage,66,0.28085106382978725,235
WL-RAMP-REP08,8,Dessert,Dessert,44,0.18723404255319148,235
WL-RAMP-REP08,8,Dessert,SINK,52,0.22127659574468084,235
WL-RAMP-REP09,9,Grill,Grill,52,0.22608695652173913,230
WL-RAMP-REP09,9,Grill,Beverage,72,0.3130434782608696,230
WL-RAMP-REP09,9,Grill,Dessert,54,0.23478260869565218,230
WL-RAMP-REP09,9,Grill,SINK,52,0.22608695652173913,230
WL-RAMP-REP09,9,Beverage,Grill,74,0.31759656652360513,233
WL-RAMP-REP09,9,Beverage,Beverage,44,0.1888412017167382,233
WL-RAMP-REP09,9,Beverage,Dessert,61,0.26180257510729615,233
WL-RAMP-REP09,9,Beverage,SINK,54,0.2317596566523605,233
WL-RAMP-REP09,9,Dessert,Grill,50,0.25125628140703515,199
WL-RAMP-REP09,9,Dessert,Beverage,62,0.31155778894472363,199
WL-RAMP-REP09,9,Dessert,Dessert,42,0.21105527638190955,199
WL-RAMP-REP09,9,Dessert,SINK,45,0.22613065326633167,199
WL-RAMP-REP10,10,Grill,Grill,49,0.23444976076555024,209
WL-RAMP-REP10,10,Grill,Beverage,50,0.23923444976076555,209
WL-RAMP-REP10,10,Grill,Dessert,60,0.28708133971291866,209
WL-RAMP-REP10,10,Grill,SINK,50,0.23923444976076555,209
WL-RAMP-REP10,10,Beverage,Grill,53,0.292817679558011,181
WL-RAMP-REP10,10,Beverage,Beverage,32,0.17679558011049723,181
WL-RAMP-REP10,10,Beverage,Dessert,52,0.287292817679558,181
WL-RAMP-REP10,10,Beverage,SINK,44,0.2430939226519337,181
