Workload,Replication,From,To,Transitions,Probability,TotalFrom
WL-STRESS-NO-REN-X100-REP01,1,Grill,Grill,116,0.17791411042944785,652
WL-STRESS-NO-REN-X100-REP01,1,Grill,Beverage,209,0.3205521472392638,652
WL-STRESS-NO-REN-X100-REP01,1,Grill,Dessert,192,0.294478527607362,652
WL-STRESS-NO-REN-X100-REP01,1,Grill,SINK,135,0.20705521472392638,652
WL-STRESS-NO-REN-X100-REP01,1,Beverage,Grill,170,0.2786885245901639,610
WL-STRESS-NO-REN-X100-REP01,1,Beverage,Beverage,142,0.23278688524590163,610
WL-STRESS-NO-REN-X100-REP01,1,Beverage,Dessert,178,0.29180327868852457,610
WL-STRESS-NO-REN-X100-REP01,1,Beverage,SINK,120,0.19672131147540983,610
WL-STRESS-NO-REN-X100-REP01,1,Dessert,Grill,174,0.3140794223826715,554
WL-STRESS-NO-REN-X100-REP01,1,Dessert,Beverage,171,0.30866425992779783,554
WL-STRESS-NO-REN-X100-REP01,1,Dessert,Dessert,98,0.17689530685920576,554
WL-STRESS-NO-REN-X100-REP01,1,Dessert,SINK,111,0.2003610108303249,554
WL-STRESS-NO-REN-X100-REP02,2,Grill,Grill,122,0.18541033434650456,658
WL-STRESS-NO-REN-X100-REP02,2,Grill,Beverage,186,0.2826747720364742,658
WL-STRESS-NO-REN-X100-REP02,2,Grill,Dessert,205,0.31155015197568386,658
WL-STRESS-NO-REN-X100-REP02,2,Grill,SINK,145,0.22036474164133737,658
WL-STRESS-NO-REN-X100-REP02,2,Beverage,Grill,196,0.30625,640
WL-STRESS-NO-REN-X100-REP02,2,Beverage,Beverage,149,0.2328125,640
WL-STRESS-NO-REN-X100-REP02,2,Beverage,Dessert,184,0.2875,640
WL-STRESS-NO-REN-X100-REP02,2,Beverage,SINK,111,0.1734375,640
WL-STRESS-NO-REN-X100-REP02,2,Dessert,Grill,158,0.27816901408450706,568
WL-STRESS-NO-REN-X100-REP02,2,Dessert,Beverage,181,0.31866197183098594,568
WL-STRESS-NO-REN-X100-REP02,2,Dessert,Dessert,122,0.2147887323943662,568
WL-STRESS-NO-REN-X100-REP02,2,Dessert,SINK,107,0.18838028169014084,568
WL-STRESS-NO-REN-X100-REP03,3,Grill,Grill,124,0.1712707182320442,724
WL-STRESS-NO-REN-X100-REP03,3,Grill,Beverage,217,0.29972375690607733,724
WL-STRESS-NO-REN-X100-REP03,3,Grill,Dessert,238,0.3287292817679558,724
WL-STRESS-NO-REN-X100-REP03,3,Grill,SINK,145,0.20027624309392264,724
WL-STRESS-NO-REN-X100-REP03,3,Beverage,Grill,203,0.30851063829787234,658
WL-STRESS-NO-REN-X100-REP03,3,Beverage,Beverage,142,0.21580547112462006,658
WL-STRESS-NO-REN-X100-REP03,3,Beverage,Dessert,185,0.2811550151975684,658
WL-STRESS-NO-REN-X100-REP03,3,Beverage,SINK,128,0.1945288753799392,658
WL-STRESS-NO-REN-X100-REP03,3,Dessert,Grill,190,0.3114754098360656,610
WL-STRESS-NO-REN-X100-REP03,3,Dessert,Beverage,189,0.30983606557377047,610
WL-STRESS-NO-REN-X100-REP03,3,Dessert,Dessert,121,0.19836065573770492,610
WL-STRESS-NO-REN-X100-REP03,3,Dessert,SINK,110,0.18032786885245902,610
WL-STRESS-NO-REN-X100-REP04,4,Grill,Grill,127,0.1898355754857997,669
WL-STRESS-NO-REN-X100-REP04,4,Grill,Beverage,189,0.2825112107623318,669
WL-STRESS-NO-REN-X100-REP04,4,Grill,Dessert,218,0.32585949177877427,669
WL-STRESS-NO-REN-X100-REP04,4,Grill,SINK,135,0.20179372197309417,669
WL-STRESS-NO-REN-X100-REP04,4,Beverage,Grill,199,0.3138801261829653,634
