Workload,Replication,From,To,Transitions,Probability,TotalFrom
WL-STRESS-REN-X100-REP01,1,Grill,Grill,75,0.17523364485981308,428
WL-STRESS-REN-X100-REP01,1,Grill,Beverage,135,0.31542056074766356,428
WL-STRESS-REN-X100-REP01,1,Grill,Dessert,137,0.32009345794392524,428
WL-STRESS-REN-X100-REP01,1,Grill,SINK,81,0.18925233644859812,428
WL-STRESS-REN-X100-REP01,1,Beverage,Grill,128,0.2922374429223744,438
WL-STRESS-REN-X100-REP01,1,Beverage,Beverage,100,0.228310502283105,438
WL-STRESS-REN-X100-REP01,1,Beverage,Dessert,119,0.271689497716895,438
WL-STRESS-REN-X100-REP01,1,Beverage,SINK,91,0.20776255707762556,438
WL-STRESS-REN-X100-REP01,1,Dessert,Grill,98,0.2572178477690289,381
WL-STRESS-REN-X100-REP01,1,Dessert,Beverage,124,0.32545931758530183,381
WL-STRESS-REN-X100-REP01,1,Dessert,Dessert,63,0.16535433070866143,381
WL-STRESS-REN-X100-REP01,1,Dessert,SINK,96,0.25196850393700787,381
WL-STRESS-REN-X100-REP02,2,Grill,Grill,78,0.1729490022172949,451
WL-STRESS-REN-X100-REP02,2,Grill,Beverage,145,0.3215077605321508,451
WL-STRESS-REN-X100-REP02,2,Grill,Dessert,142,0.3148558758314856,451
WL-STRESS-REN-X100-REP02,2,Grill,SINK,86,0.19068736141906872,451
WL-STRESS-REN-X100-REP02,2,Beverage,Grill,137,0.3277511961722488,418
WL-STRESS-REN-X100-REP02,2,Beverage,Beverage,65,0.15550239234449761,418
WL-STRESS-REN-X100-REP02,2,Beverage,Dessert,128,0.3062200956937799,418
WL-STRESS-REN-X100-REP02,2,Beverage,SINK,88,0.21052631578947367,418
WL-STRESS-REN-X100-REP02,2,Dessert,Grill,128,0.30917874396135264,414
WL-STRESS-REN-X100-REP02,2,Dessert,Beverage,134,0.32367149758454106,414
WL-STRESS-REN-X100-REP02,2,Dessert,Dessert,81,0.1956521739130435,414
WL-STRESS-REN-X100-REP02,2,Dessert,SINK,71,0.17149758454106281,414
WL-STRESS-REN-X100-REP03,3,Grill,Grill,104,0.21311475409836064,488
WL-STRESS-REN-X100-REP03,3,Grill,Beverage,137,0.2807377049180328,488
WL-STRESS-REN-X100-REP03,3,Grill,Dessert,146,0.29918032786885246,488
WL-STRESS-REN-X100-REP03,3,Grill,SINK,101,0.2069672131147541,488
WL-STRESS-REN-X100-REP03,3,Beverage,Grill,126,0.30071599045346065,419
WL-STRESS-REN-X100-REP03,3,Beverage,Beverage,83,0.19809069212410502,419
WL-STRESS-REN-X100-REP03,3,Beverage,Dessert,124,0.29594272076372313,419
WL-STRESS-REN-X100-REP03,3,Beverage,SINK,86,0.2052505966587112,419
WL-STRESS-REN-X100-REP03,3,Dessert,Grill,115,0.2744630071599045,419
WL-STRESS-REN-X100-REP03,3,Dessert,Beverage,142,0.33890214797136037,419
WL-STRESS-REN-X100-REP03,3,Dessert,Dessert,90,0.21479713603818615,419
WL-STRESS-REN-X100-REP03,3,Dessert,SINK,72,0.1718377088305489,419
WL-STRESS-REN-X100-REP04,4,Grill,Grill,87,0.1891304347826087,460
WL-STRESS-REN-X100-REP04,4,Grill,Beverage,135,0.29347826086956524,460
WL-STRESS-REN-X100-REP04,4,Grill,Dessert,139,0.30217391304347824,460
WL-STRESS-REN-X100-REP04,4,Grill,SINK,99,0.21521739130434783,460
WL-STRESS-REN-X100-REP04,4,Beverage,Grill,139,0.3041575492341357,457
WL-STRESS-REN-X100-REP04,4,Beverage,Beverage,94,0.20568927789934355,457
WL-STRESS-REN-X100-REP04,4,Beverage,Dessert,137,0.29978118161925604,457
WL-STRESS-REN-X100-REP04,4,Beverage,SINK,87,0.19037199124726478,457
WL-STRESS-REN-X100-REP04,4,Dessert,Grill,125,0.32051282051282054,390
WL-STRESS-REN-X100-REP04,4,Dessert,Beverage,122,0.3128205128205128,390
WL-STRESS-REN-X100-REP04,4,Dessert,Dessert,62,0.15897435897435896,390
WL-STRESS-REN-X100-REP04,4,Dessert,SINK,81,0.2076923076923077,390
WL-STRESS-REN-X100-REP05,5,Grill,Grill,85,0.19813519813519814,429
WL-STRESS-REN-X100-REP05,5,Grill,Beverage,125,0.2913752913752914,429
WL-STRESS-REN-X100-REP05,5,Grill,Dessert,120,0.27972027972027974,429
WL-STRESS-REN-X100-REP05,5,Grill,SINK,99,0.23076923076923078,429
WL-STRESS-REN-X100-REP05,5,Beverage,Grill,105,0.26582278481012656,395
WL-STRESS-REN-X100-REP05,5,Beverage,Beverage,72,0.18227848101265823,395
WL-STRESS-REN-X100-REP05,5,Beverage,Dessert,128,0.3240506329113924,395
WL-STRESS-REN-X100-REP05,5,Beverage,SINK,90,0.22784810126582278,395
WL-STRESS-REN-X100-REP05,5,Dessert,Grill,117,0.30952380952380953,378
WL-STRESS-REN-X100-REP05,5,Dessert,Beverage,128,0.3386243386243386,378
WL-STRESS-REN-X100-REP05,5,Dessert,Dessert,68,0.17989417989417988,378
WL-STRESS-REN-X100-REP05,5,Dessert,SINK,65,0.17195767195767195,378
WL-STRESS-REN-X100-REP06,6,Grill,Grill,88,0.19383259911894274,454
WL-STRESS-REN-X100-REP06,6,Grill,Beverage,146,0.32158590308370044,454
