Workload,Replication,From,To,Transitions,Probability,TotalFrom
WL-STRESS-REP01,1,Grill,Grill,60,0.21897810218978103,274
WL-STRESS-REP01,1,Grill,Beverage,77,0.28102189781021897,274
WL-STRESS-REP01,1,Grill,Dessert,85,0.3102189781021898,274
WL-STRESS-REP01,1,Grill,SINK,52,0.1897810218978102,274
WL-STRESS-REP01,1,Beverage,Grill,77,0.2950191570881226,261
WL-STRESS-REP01,1,Beverage,Beverage,59,0.2260536398467433,261
WL-STRESS-REP01,1,Beverage,Dessert,78,0.2988505747126437,261
WL-STRESS-REP01,1,Beverage,SINK,47,0.18007662835249041,261
WL-STRESS-REP01,1,Dessert,Grill,86,0.315018315018315,273
WL-STRESS-REP01,1,Dessert,Beverage,76,0.2783882783882784,273
WL-STRESS-REP01,1,Dessert,Dessert,53,0.19413919413919414,273
WL-STRESS-REP01,1,Dessert,SINK,58,0.21245421245421245,273
WL-STRESS-REP02,2,Grill,Grill,51,0.2236842105263158,228
WL-STRESS-REP02,2,Grill,Beverage,67,0.29385964912280704,228
WL-STRESS-REP02,2,Grill,Dessert,60,0.2631578947368421,228
WL-STRESS-REP02,2,Grill,SINK,50,0.21929824561403508,228
WL-STRESS-REP02,2,Beverage,Grill,68,0.29694323144104806,229
WL-STRESS-REP02,2,Beverage,Beverage,40,0.17467248908296942,229
WL-STRESS-REP02,2,Beverage,Dessert,73,0.31877729257641924,229
WL-STRESS-REP02,2,Beverage,SINK,48,0.2096069868995633,229
WL-STRESS-REP02,2,Dessert,Grill,66,0.3013698630136986,219
WL-STRESS-REP02,2,Dessert,Beverage,72,0.3287671232876712,219
WL-STRESS-REP02,2,Dessert,Dessert,38,0.1735159817351598,219
WL-STRESS-REP02,2,Dessert,SINK,43,0.1963470319634703,219
WL-STRESS-REP03,3,Grill,Grill,40,0.1694915254237288,236
WL-STRESS-REP03,3,Grill,Beverage,82,0.3474576271186441,236
WL-STRESS-REP03,3,Grill,Dessert,70,0.2966101694915254,236
WL-STRESS-REP03,3,Grill,SINK,44,0.1864406779661017,236
WL-STRESS-REP03,3,Beverage,Grill,76,0.304,250
WL-STRESS-REP03,3,Beverage,Beverage,44,0.176,250
WL-STRESS-REP03,3,Beverage,Dessert,79,0.316,250
WL-STRESS-REP03,3,Beverage,SINK,51,0.204,250
WL-STRESS-REP03,3,Dessert,Grill,66,0.27615062761506276,239
WL-STRESS-REP03,3,Dessert,Beverage,82,0.34309623430962344,239
WL-STRESS-REP03,3,Dessert,Dessert,43,0.1799163179916318,239
WL-STRESS-REP03,3,Dessert,SINK,48,0.200836820083682,239
WL-STRESS-REP04,4,Grill,Grill,54,0.22040816326530613,245
WL-STRESS-REP04,4,Grill,Beverage,69,0.2816326530612245,245
WL-STRESS-REP04,4,Grill,Dessert,72,0.2938775510204082,245
WL-STRESS-REP04,4,Grill,SINK,50,0.20408163265306123,245
WL-STRESS-REP04,4,Beverage,Grill,72,0.2857142857142857,252
WL-STRESS-REP04,4,Beverage,Beverage,53,0.21031746031746032,252
WL-STRESS-REP04,4,Beverage,Dessert,77,0.3055555555555556,252
WL-STRESS-REP04,4,Beverage,SINK,50,0.1984126984126984,252
WL-STRESS-REP04,4,Dessert,Grill,69,0.2793522267206478,247
WL-STRESS-REP04,4,Dessert,Beverage,71,0.2874493927125506,247
WL-STRESS-REP04,4,Dessert,Dessert,60,0.242914979757085,247
WL-STRESS-REP04,4,Dessert,SINK,47,0.1902834008097166,247
WL-STRESS-REP05,5,Grill,Grill,49,0.196,250
